date,Pennsylvania,flu contagious,stomach flu,contagious flu,how long flu,flu how long,bronchitis,the flu,flu cold,the flu symptoms,flu symptoms,symptoms of flu,cold,a influenza,influenza a,rsv,how long does flu last,how long does the flu last,pneumonia,flu fever,fever flu
2018-06-09,0.752432,0.0,166.70937170740407,0.0,53.00947347655515,53.00947347655515,488.5199676598708,238.2692393356024,57.72648107008883,0.0,184.9334982132497,68.73876564370941,7199.26510678148,0.0,0.0,92.73947774166312,87.48340721343371,0.0,895.3696878378192,0.0,0.0
2018-06-16,0.656064,0.0,125.25606101919794,0.0,0.0,0.0,435.2919210135487,187.0505548291703,114.93604849026254,0.0,184.7384692314284,0.0,7105.715722794082,0.0,0.0,74.19776089128904,0.0,0.0,773.1114416041037,0.0,0.0
2018-06-23,0.54252,0.0,137.58762022530615,0.0,0.0,0.0,410.26285886196695,135.9169702952406,0.0,0.0,87.29458942172384,0.0,7187.181134638778,0.0,0.0,122.56069907853508,0.0,0.0,840.0070502862708,0.0,0.0
2018-06-30,0.510015,0.0,115.30904780665436,0.0,0.0,0.0,418.502407147032,137.03103996952834,0.0,0.0,82.66232919663362,61.85275344414663,7334.37634526122,0.0,0.0,70.74681356792289,0.0,0.0,769.2166632430491,0.0,0.0
2018-07-07,0.494634,0.0,130.89230374309304,0.0,0.0,0.0,336.3261973524125,116.75653605455808,100.09352922540496,0.0,187.6083396136511,51.71786764009887,8428.278096021535,0.0,0.0,0.0,0.0,0.0,644.8215638935098,0.0,0.0
2018-07-14,0.481905,0.0,117.52797763460092,0.0,0.0,0.0,313.7823241000153,130.99143315963607,0.0,0.0,116.6849212329592,0.0,7245.897128125704,0.0,0.0,60.96602551950623,0.0,0.0,814.814232397408,0.0,0.0
2018-07-21,0.356381,0.0,192.23281368104432,0.0,0.0,0.0,325.6138381248802,150.60927647613778,59.68863422739744,0.0,122.87131317154214,0.0,7026.823112200089,0.0,0.0,0.0,0.0,0.0,842.6687610686557,0.0,0.0
2018-07-28,0.34642,0.0,121.5095666647782,0.0,0.0,0.0,342.5392672516299,142.84354308290278,0.0,0.0,102.50487088307128,0.0,6995.017109405978,0.0,0.0,0.0,0.0,0.0,874.2531532221363,0.0,0.0
2018-08-04,0.421819,0.0,99.85969390478894,0.0,0.0,0.0,347.3971455035022,154.29166182454605,0.0,0.0,112.9766792225078,0.0,7289.330836509354,0.0,0.0,58.56826999984817,0.0,0.0,858.0725986101634,0.0,0.0
2018-08-11,0.36568,0.0,94.9030161233175,0.0,0.0,0.0,276.7315351816653,129.15312829331853,0.0,0.0,130.94477412255753,0.0,7020.309688536514,0.0,0.0,59.86929061769147,0.0,0.0,733.8734326672454,0.0,0.0
2018-08-18,0.403519,0.0,109.7823338023727,0.0,0.0,0.0,270.0362619727056,120.39573874901572,82.88189448793369,0.0,83.69169711097511,0.0,6659.547482493461,0.0,0.0,76.58884776213563,0.0,0.0,855.8681207742334,96.11351108002772,96.11351108002772
2018-08-25,0.406604,0.0,81.464446503857,0.0,63.41404826026096,63.41404826026096,412.6948058029304,247.92037734140496,103.84653170168176,56.05398947495917,98.1859506832232,107.97880347733656,6704.886232305921,0.0,0.0,0.0,0.0,0.0,791.6726347287904,52.90525948504437,52.90525948504437
2018-09-01,0.465368,0.0,90.95694496915262,0.0,0.0,0.0,331.45488515925496,191.16959613727357,69.35498421160644,0.0,143.0463878053756,0.0,7877.822094056237,0.0,0.0,55.53003636232456,0.0,0.0,870.7881081586418,0.0,0.0
2018-09-08,0.584038,0.0,193.5171949590359,0.0,70.18957635227805,70.18957635227805,406.3811172512181,392.35241349794586,76.12324640915911,0.0,234.555945062698,0.0,8035.907172549236,0.0,0.0,79.43839721613857,0.0,0.0,808.2732066476871,0.0,0.0
2018-09-15,0.704251,0.0,81.97041344289853,0.0,82.2107862863268,82.2107862863268,431.0008250194639,451.30520171162897,155.07877775588284,56.7236229604646,315.0949909064657,51.78132824224349,7922.899752932464,0.0,0.0,192.7213300685748,69.11568737383779,0.0,992.7151906074498,60.182567423599295,60.18256742359929
2018-09-22,0.853632,0.0,107.70077373098844,0.0,107.12000282496436,107.12000282496436,708.5524170173119,626.6804718525218,267.40746636933994,85.48965597926832,278.2217004725466,0.0,8260.05313597684,0.0,0.0,173.05452967463486,0.0,0.0,1153.217963454087,0.0,0.0
2018-09-29,1.00661,47.4539457756221,111.17230692167256,0.0,173.69380388367475,173.69380388367475,690.5243469486169,784.3217791782254,343.2913543199999,49.27455814024349,344.06574682748567,52.047897971103545,8430.382899985529,0.0,0.0,119.49731663092616,48.54490651319066,0.0,1262.831141700945,71.92107804370234,71.92107804370234
2018-10-06,0.901871,0.0,170.23158542474357,0.0,109.1924730144683,109.1924730144683,659.8178380429289,847.6098313399584,236.2603406007377,0.0,451.5009638204838,88.14913068159271,8201.410370945587,0.0,0.0,140.40127701946548,49.3556299601342,0.0,1335.4441881085347,73.15086462900862,73.15086462900862
2018-10-13,1.04907,0.0,160.921142810245,0.0,145.62755512666592,145.62755512666592,615.9177098852696,971.1513303737862,214.83083045887489,98.94366579524568,440.66001037479,109.855413370107,8256.120073193915,0.0,0.0,283.1183434824163,63.25130663785057,0.0,1134.0013866859674,96.56314525597143,96.56314525597143
2018-10-20,1.08332,0.0,187.83318814922765,0.0,153.65175059020393,153.65175059020396,762.6971883420822,1232.7172419313406,276.7496940961742,107.4469159189142,532.4307766162657,138.95825602296662,10599.029782686372,0.0,0.0,233.0091419436252,0.0,0.0,1391.531641337059,89.74054603458877,89.74054603458876
2018-10-27,1.14248,0.0,137.34445465725983,0.0,143.18016732754842,143.18016732754842,820.6550347587647,974.9627739725672,263.6335983029428,50.056413679091975,506.7994735226418,110.50796387140056,10092.664704698976,0.0,0.0,288.38154006129537,0.0,0.0,1466.5738662366562,141.2803575319974,141.2803575319974
2018-11-03,1.20261,47.98807401879176,186.2892761308447,0.0,151.59795758321425,151.59795758321422,783.4625559739902,779.7268539243473,216.54276641362608,74.35881235432855,496.1664309233698,108.17949003506368,9321.810834748754,0.0,0.0,217.95342898163,47.071408230679154,0.0,1490.2655033220683,113.7624898101452,113.7624898101452
2018-11-10,1.32262,0.0,205.6613912139644,96.00568932357936,121.76551247883414,121.76551247883415,779.995184086507,774.95027040704,219.83671789853443,53.11703389840249,477.4370958545095,105.76330836700204,9000.298358079797,0.0,0.0,266.17045057163455,54.7144486613548,0.0,1315.7734867039867,113.79803934928869,113.79803934928869
2018-11-17,1.38527,55.33330074589983,267.1900908017557,0.0,161.9966484730581,161.9966484730581,869.7373501316475,728.3124194668478,229.47313702842928,59.00457542334085,461.26776791886846,140.06778198275148,11312.560592611071,0.0,0.0,379.454224606154,0.0,0.0,2072.651456275976,132.2945379558757,132.29453795587568
2018-11-24,1.60346,68.17392887950096,199.2755740091389,51.71959038562456,149.1946820924513,149.1946820924513,801.1670291048639,719.0541909610727,239.0624599598468,76.91775068370663,444.4045305165323,70.68120870990795,11385.912081400404,0.0,0.0,447.71208657539705,0.0,0.0,1661.8802337259767,109.0938110430112,109.0938110430112
2018-12-01,1.43328,52.2090214212298,309.21603583794666,71.83194390644562,161.75412345078362,161.75412345078362,936.515877840694,714.6439704751464,222.92303411881184,80.46674062703234,536.8044923413307,68.483479887684,13074.103139080064,0.0,0.0,516.7608526845299,0.0,0.0,1662.0812065231314,70.07999668316984,70.07999668316984
2018-12-08,1.52263,0.0,266.55081895520004,0.0,167.88949654191018,167.88949654191018,862.8066229058703,834.0532057069186,212.9943335057409,85.7486639494454,432.09748473320985,162.6148755696642,18237.453739441917,0.0,0.0,441.1299546390805,81.92629171521781,58.48038870189716,1752.243520918688,103.74363375436958,103.74363375436955
2018-12-15,1.89283,92.59224876586973,451.966552522624,87.1517339480718,126.52080467468916,126.52080467468916,894.6285033351954,740.9391076934087,249.44961384328863,106.1194228572012,448.8807199056672,87.51882050628596,15279.682618882964,58.83264935329543,58.83264935329543,528.3445487832904,75.84200018092892,0.0,1773.870233607974,92.31671459817204,92.31671459817204
2018-12-22,2.14732,127.24767019933849,564.53444652987,156.41969989633043,265.615626233592,265.615626233592,965.4253003529378,1035.1475403571835,331.0347068899939,129.77869023005547,566.8168538858588,150.32822753483495,13030.173610654174,50.49573609552112,50.49573609552112,679.8848065703837,87.39427408948825,73.67152920829936,1887.1617372400185,129.07552725229257,129.07552725229257
