date,Washington,flu symptoms,pneumonia,the flu,stomach flu,flu how long,how long flu,bronchitis,rsv,flu cold,contagious flu,flu contagious,a influenza,influenza a,how long does flu last,symptoms of flu,fever flu,flu fever,the flu symptoms,flu virus,influenza symptoms
2014-03-29,0.735294,264.93658222536146,692.1504083577348,267.7077121097659,439.6730712897404,0.0,0.0,434.7965420010559,118.72454171564812,0.0,0.0,0.0,0.0,0.0,112.11673452139097,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-05,0.648571,214.63185558657176,839.7220573063742,281.7298983459126,265.5826619535329,0.0,0.0,585.8708867562794,185.214452673312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-12,0.548902,129.12135748346483,688.5846090395645,301.7933529870679,359.2187961115328,0.0,0.0,392.2154958949659,116.90471106847713,0.0,0.0,0.0,0.0,0.0,0.0,117.47704902863327,0.0,0.0,0.0,0.0,0.0
2014-04-19,0.682996,173.78771904789593,902.2319712595696,122.07638766858511,191.5793749971925,0.0,0.0,344.89251013853016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-04-26,0.681872,172.01013163951433,720.3723000639502,256.0403902335245,203.821827560359,0.0,0.0,363.7984158138097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-03,0.401417,229.47483488857927,966.2845839346164,185.6641497561486,262.9028265733032,0.0,0.0,257.5261854840828,182.371399959687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-10,0.607681,285.53529236886806,753.2852557317764,311.6171869482848,208.46089453482296,0.0,0.0,450.2180733688476,163.09493949844097,134.48934382612484,0.0,0.0,0.0,0.0,0.0,0.0,124.27408189221094,124.27408189221096,0.0,0.0,0.0
2014-05-17,0.407166,143.70867127787426,839.0239778228474,212.49356945207015,249.0884016216116,153.91576335011175,153.91576335011175,327.6304761042198,0.0,0.0,110.94091099516392,110.94091099516388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-24,0.609579,182.7781954625136,774.2930774478383,214.20860158988867,188.9243425374547,0.0,0.0,444.6930239520061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-31,0.38583,173.9040326825948,635.7077679567276,262.7769542148788,154.3466552101436,121.0502791797756,121.0502791797756,506.90357803070896,185.06849549626529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-07,0.402414,188.647180786529,607.2202939675115,151.37374722908936,243.59468385323632,0.0,0.0,236.9097721083283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.90867263734987,154.90867263734987,0.0,0.0,0.0
2014-06-14,0.454959,0.0,667.4735983312851,183.90716396482483,199.90724170289832,0.0,0.0,462.80670240490593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-06-21,0.529301,130.17806746149432,543.273693770176,167.75379520931983,159.22026680776173,203.02666858743163,203.0266685874316,503.4604305078203,150.6178733375695,136.09074180861026,0.0,0.0,0.0,0.0,0.0,156.031545643797,0.0,0.0,0.0,0.0,0.0
2014-06-28,0.45854,0.0,549.0499383550198,206.9691460289484,161.17671954120993,0.0,0.0,318.3010154143644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-05,0.241896,230.6565438654196,478.9406120079424,0.0,141.2989680650975,0.0,0.0,438.8134927318287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-12,0.372362,186.38717351880663,626.7314887155223,167.07617895729624,200.7656166032777,0.0,0.0,201.8015297579238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-19,0.265152,166.1405749869665,627.4129429231589,0.0,144.94962710051828,0.0,0.0,142.30265481403796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-26,0.274348,210.54564851893417,699.088975506807,0.0,245.36864093840785,0.0,0.0,296.451809640145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-02,0.631845,0.0,417.18791316456674,139.83756477786906,201.87861820379945,0.0,0.0,206.9200430238477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-09,0.30888,0.0,549.7479004720814,0.0,261.86011843829,0.0,0.0,273.7865854463892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-16,0.292032,148.0193700180755,394.2998337065478,118.60305305017562,188.50416669252516,0.0,0.0,147.07207903099115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.09044339570988,0.0,0.0,0.0,0.0,0.0
2014-08-23,0.329489,115.81868569348076,554.8945758939889,0.0,0.0,0.0,0.0,298.6340105409301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-30,0.183908,139.76082205552322,620.2278334799911,159.90068606628736,168.2681394705918,0.0,0.0,264.0879690044618,0.0,179.11018623825112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-06,0.365631,171.35172817311172,672.5442586770604,172.92281462701416,203.89487507906333,0.0,0.0,251.3784156915952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-13,0.407268,125.00053210733844,516.2480023181785,174.73060830624786,213.74845363517773,136.18044109421336,136.18044109421336,332.0861489901783,0.0,217.4911876335515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-20,0.622038,275.05072002546035,691.3078114609727,322.5293146340079,265.55208554686624,0.0,0.0,377.0710606242246,163.6545375144583,221.3518272806224,0.0,0.0,0.0,0.0,123.21713522382396,0.0,0.0,0.0,154.32596257024124,0.0,0.0
2014-09-27,0.32769,239.1779970821811,840.5359277145654,389.5750405709579,231.91331862035588,0.0,0.0,303.47679557087275,119.54992110806992,148.87173134739027,0.0,0.0,0.0,0.0,0.0,0.0,102.15916807014334,102.15916807014334,0.0,0.0,0.0
2014-10-04,0.443718,339.49233083513013,794.059340653082,485.6281819447117,216.33632700795064,0.0,0.0,367.1817635901942,0.0,152.94316852893508,0.0,0.0,0.0,0.0,0.0,132.84787250416204,0.0,0.0,0.0,106.82616858487197,0.0
2014-10-11,1.45322,270.3573658925534,872.364472611947,753.8167715415123,0.0,114.92057393155282,114.92057393155282,517.5130863576854,0.0,232.96060615668537,0.0,0.0,0.0,0.0,0.0,99.51888095177044,0.0,0.0,0.0,0.0,0.0
2014-10-18,0.773616,643.4917188247963,1003.236178941474,851.6393860844663,235.48511571839757,218.71544373527811,218.71544373527811,427.8027544894557,0.0,350.4326424587558,196.070747623877,196.07074762387705,0.0,0.0,0.0,183.18135529780196,107.14363171832538,107.14363171832537,0.0,102.56085800068055,0.0
2014-10-25,0.620604,319.46226856935533,822.1427200070585,800.1455133294544,200.9465672076445,0.0,0.0,419.07262405625255,0.0,187.63964411203,0.0,0.0,115.87856470728308,115.87856470728308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-01,0.604511,251.6990418132499,924.1786875678335,591.1718803475698,244.08549495029183,217.9897000118036,217.9897000118036,365.4167690691295,0.0,221.7493709596732,0.0,0.0,0.0,0.0,0.0,179.60985462081365,0.0,0.0,0.0,0.0,0.0
2014-11-08,0.616406,336.3100274815233,1059.1524691246416,630.277453808725,285.93128904301904,124.34049433706078,124.3404943370608,529.6627531140232,104.64690249991348,233.18134376264825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-15,0.75707,399.5661005284421,965.995948310588,455.1991088148267,292.0113787535693,0.0,0.0,620.5574350843543,0.0,145.4707928125849,0.0,0.0,134.56704516544374,134.56704516544372,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-22,0.82958,192.8674396904367,1163.6504479953128,332.41937584919395,277.81134748362734,0.0,0.0,574.8536753177165,0.0,202.26575380006105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-29,0.877528,221.9030316099946,956.8947906984512,303.88247768117145,260.15637095279715,0.0,0.0,518.9522941500406,0.0,109.59867253479656,0.0,0.0,0.0,0.0,0.0,135.5256227948991,0.0,0.0,0.0,192.5396257730265,0.0
2014-12-06,0.985325,363.7420424975408,919.254461907892,511.1273371144637,292.22937630345785,102.12501557553628,102.12501557553624,596.9428566667525,123.70037559218036,276.6258185098775,0.0,0.0,0.0,0.0,0.0,0.0,107.22503191070236,107.22503191070236,0.0,0.0,0.0
2014-12-13,1.26887,589.2346855336357,1095.8635410445413,472.949245011014,307.17218811732107,221.6510501753447,221.65105017534464,387.23611468888464,147.68356064511363,101.85617655952574,0.0,0.0,0.0,0.0,0.0,99.98829302766912,0.0,0.0,0.0,0.0,0.0
2014-12-20,2.01157,748.6007212391586,1235.0058511204177,692.870410620581,489.4205924434284,184.19538203693304,184.19538203693307,559.344597525163,214.05921196963865,265.8593246228722,0.0,0.0,0.0,0.0,115.20836419491236,205.74583579608225,0.0,0.0,148.00689373015072,145.47866697498125,0.0
2014-12-27,2.50667,695.4803969516299,1371.42857140131,703.237900807018,277.46908768834663,248.55974388777173,248.55974388777176,758.4402063603715,341.7655589249256,302.2575871248964,155.2517964556315,155.2517964556315,0.0,0.0,0.0,125.91399131768826,0.0,0.0,0.0,120.59127601950183,0.0
2015-01-03,3.17919,989.7042239158404,1845.243071074607,890.6626217116404,375.2450246291964,296.8160488308643,296.8160488308643,960.6096492688556,301.159245563639,347.67199229997493,125.3318944992196,125.3318944992196,165.86615305496278,165.8661530549628,0.0,178.98058116824308,184.13409834513809,184.1340983451381,0.0,185.44732505172067,0.0
2015-01-10,3.64139,1003.570788345547,1645.0716066105251,1059.8647752404067,264.475736695728,326.74176072890646,326.74176072890646,1044.6448219609945,278.11109874067944,498.6677690040745,189.86778053118664,189.86778053118664,214.9567637811297,214.95676378112967,126.29840890523384,237.5977628398944,161.9481507014882,161.94815070148815,144.5667019088006,0.0,0.0
2015-01-17,4.17528,1329.088633250585,1661.9822170210118,1339.8041621057994,347.69935357489777,385.1042850011795,385.1042850011795,808.450585023,406.5087964031696,481.5564404302471,187.5152037583698,187.5152037583698,269.9481397064784,269.9481397064784,116.31070351123086,362.578800863756,145.97367982018417,145.9736798201842,235.86229530251904,174.6959093593681,0.0
