date,Massachusetts,bronchitis,cold,symptoms of the flu,flu symptoms,rsv,sinus,pneumonia,stomach flu,the flu symptoms,flu how long,how long flu,the flu,strep,strep throat,contagious flu,flu contagious,symptoms of flu,fever flu,flu fever,how long does flu last
2013-04-06,1.51658,660.0123724638576,6788.162374254261,0.0,328.4034400291402,151.05108597204577,1375.3664146175836,1272.387814908863,166.6100017143177,81.30641259104353,0.0,0.0,350.30665168362395,1419.5526284724626,1018.6317825160196,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-13,1.57023,607.232191779033,7168.738603270795,89.01237422249115,349.1226253105114,147.40137443438434,1190.636005372497,999.7368942869232,154.29315617810704,87.23354729223361,0.0,0.0,367.7131240880155,1100.517477424949,789.2818093021399,0.0,0.0,126.676225740497,0.0,0.0,0.0
2013-04-20,1.3764,426.9493102788993,5809.649979558816,0.0,192.33051850890047,0.0,1023.7719032165044,670.8319813438487,187.21424836639392,0.0,0.0,0.0,271.0444118526103,944.3114846752504,628.693808903753,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-27,0.870495,480.9691351268623,6754.436934423897,0.0,153.37644481264263,0.0,1059.892788805207,751.6147165030005,0.0,0.0,0.0,0.0,289.52102336245565,1116.8120808512135,527.1185690529853,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-04,0.942834,449.1489232270682,6986.241441255983,0.0,209.48834553139784,0.0,1282.9584221274483,819.3493759509281,142.84847543433705,0.0,78.68303751713162,78.68303751713164,245.79032914269715,904.0144882595656,581.5024536861379,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-11,0.908136,367.7062719430978,7006.544734874932,0.0,179.28753392450642,104.31306253968324,1199.104690092984,714.6349997353808,119.9477604366189,0.0,0.0,0.0,214.1601012072924,949.343708837943,630.9159304536898,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-18,0.783969,497.0068190342876,6611.668558693609,0.0,153.28652981728817,147.1853769445645,991.5694713172588,788.3629642141552,124.20669062154454,0.0,0.0,0.0,116.43389112615684,842.1820382614258,533.6371070046698,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-25,0.610074,417.9334068739624,6457.422752404672,0.0,153.7460864767795,85.49057540953665,884.635253635448,530.3869104419576,136.41565934998707,0.0,0.0,0.0,102.28494833565917,1012.6187711170812,646.8483935719482,185.3235339386688,0.0,0.0,0.0,0.0,0.0
2013-06-01,0.673816,402.77035806775314,7623.381029485741,0.0,145.5716657548864,0.0,913.2709812010772,627.5515691165185,0.0,0.0,0.0,0.0,99.87903082999696,949.5734950129264,522.8602941714643,0.0,0.0,130.5166200738812,0.0,0.0,0.0
2013-06-08,0.513891,369.1063387711223,7028.751803062492,0.0,95.82927266876652,0.0,982.4051227242016,686.9512032888948,86.13396114103143,0.0,0.0,0.0,0.0,733.4388049915142,512.914984026023,0.0,0.0,0.0,169.91613729560638,169.91613729560638,0.0
