date,Oklahoma,the flu,flu symptoms,rsv,pneumonia,how long flu,the flu symptoms,flu a,symptoms of flu,flu how long,strep,stomach flu,contagious flu,sinus,flu contagious,strep throat,bronchitis,fever flu,how long contagious,type a flu,flu type a
2011-09-10,0.40783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.6793870347113,0.0,0.0,1248.926499430047,0.0,722.9207598327795,0.0,0.0,0.0,0.0,0.0
2011-09-17,0.865426,0.0,0.0,0.0,1206.1311277757036,0.0,0.0,0.0,0.0,548.0322433252148,1356.699060117465,0.0,0.0,1358.2612857776053,0.0,569.2611110661915,568.596491783986,0.0,0.0,0.0,0.0
2011-09-24,0.316313,512.4457308255265,546.240972481492,0.0,771.6602608925942,439.18517885840055,0.0,529.3137523436397,0.0,0.0,1480.6889224557597,0.0,445.0664738657172,1180.2403541488193,0.0,964.4741789258672,0.0,0.0,0.0,0.0,0.0
2011-10-01,0.625782,0.0,0.0,0.0,794.024862671251,0.0,0.0,0.0,0.0,0.0,946.7005269809396,0.0,0.0,1492.8983568726658,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-08,1.56483,0.0,455.7159365569517,0.0,714.8697787634658,0.0,0.0,0.0,0.0,0.0,758.7829168976773,0.0,0.0,1623.0073142178462,0.0,579.1610751204438,0.0,0.0,0.0,0.0,0.0
2011-10-15,1.04128,548.0366327730576,0.0,0.0,737.8997745235031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1340.7476800682557,0.0,599.1514982988614,0.0,0.0,0.0,0.0,0.0
2011-10-22,1.2191,0.0,0.0,0.0,1161.0839937167434,0.0,0.0,0.0,0.0,0.0,933.437975597926,0.0,0.0,1621.8597689348262,0.0,840.2434698201223,0.0,0.0,0.0,0.0,0.0
2011-10-29,0.785855,623.1885613755068,0.0,0.0,932.9113748688052,0.0,0.0,0.0,0.0,0.0,855.020697820822,0.0,0.0,1635.586290069091,0.0,782.9710782567447,503.98745498368464,0.0,0.0,493.465238954992,493.46523895499183
2011-11-05,1.14192,0.0,0.0,0.0,1267.3996789336006,0.0,0.0,0.0,0.0,0.0,976.5937772367153,0.0,0.0,1542.015650630844,0.0,584.3888009914724,611.9406323364075,0.0,0.0,0.0,0.0
2011-11-12,1.6163,430.06897782697695,849.5964264854764,0.0,1023.820245923182,0.0,0.0,0.0,0.0,0.0,499.70960746425874,0.0,0.0,1230.5130829119405,0.0,404.73840953589655,1032.2448212577583,0.0,0.0,0.0,0.0
2011-11-19,2.19328,467.1190839137713,450.5834478739156,0.0,1197.2869393413448,0.0,0.0,0.0,0.0,0.0,1061.9324637340535,365.2886818995528,0.0,873.428853241161,0.0,659.9050643696382,679.0855052737415,0.0,0.0,0.0,0.0
2011-11-26,1.00604,719.4241653929315,0.0,0.0,771.1543346593825,0.0,0.0,0.0,527.9422237433058,0.0,1319.3271709228825,0.0,0.0,1285.2504597419236,0.0,764.6669417657378,0.0,0.0,0.0,0.0,0.0
2011-12-03,2.05744,0.0,0.0,0.0,1076.8047841075256,0.0,0.0,0.0,0.0,0.0,1620.5734344425762,0.0,0.0,2059.529600499384,0.0,1766.5077652869672,529.8726870428552,0.0,0.0,0.0,0.0
2011-12-10,1.68188,0.0,568.103789884228,0.0,1212.6121685025332,0.0,0.0,0.0,0.0,0.0,1751.0071198512053,0.0,0.0,1062.7919621696053,0.0,1033.8911282547615,0.0,0.0,0.0,0.0,0.0
2011-12-17,0.958606,0.0,610.80154580072,0.0,492.4471447308892,0.0,0.0,0.0,0.0,0.0,658.1178133646468,0.0,0.0,514.4990818090055,0.0,0.0,709.7112204232685,0.0,0.0,0.0,0.0
2011-12-24,1.4556,0.0,0.0,686.7231040712525,1094.018158499973,0.0,0.0,0.0,0.0,0.0,833.6718254141954,0.0,0.0,1366.1228695002164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-31,1.26582,0.0,865.8996576836848,0.0,1261.4482185341003,764.7966082848994,0.0,0.0,0.0,0.0,1288.662423237785,0.0,0.0,1646.3748226862006,0.0,1143.081774234974,0.0,0.0,0.0,0.0,0.0
2012-01-07,1.75579,0.0,0.0,0.0,1111.1516213246216,0.0,0.0,0.0,0.0,0.0,1436.979005163195,0.0,0.0,1709.4288577493744,0.0,1168.69003813097,953.5941560731178,0.0,0.0,0.0,0.0
2012-01-14,1.22227,0.0,0.0,501.6123468230223,947.3475859773496,0.0,0.0,508.4914738906436,0.0,0.0,1582.602338964757,0.0,0.0,1535.3216189435511,0.0,873.5358662605798,583.4121522514059,0.0,0.0,0.0,0.0
2012-01-21,1.18125,0.0,0.0,878.9202351596009,1123.8774033101222,0.0,0.0,0.0,527.674166439764,0.0,1323.2597309197297,0.0,0.0,2161.9854329931245,0.0,1250.1130046531628,760.0702747014601,0.0,0.0,0.0,0.0
