date,New York,how long flu,flu how long,contagious flu,how long does the flu last,how long does flu last,symptoms of the flu,the flu symptoms,stomach flu,flu a symptoms,a influenza,influenza a,flu contagious,symptoms of flu,flu cough,flu symptoms,flu medicine,the flu,bronchitis,fever flu,flu fever
2018-03-03,5.04069,413.99060844406193,419.22896884638567,156.3417495870098,94.9706082926617,129.44888248974183,106.25626250309068,201.1030487653526,336.6208313185561,49.49482016426484,144.42714520853005,144.42714520853005,160.0305720639915,303.441282929767,85.74922600384217,1211.219507882772,106.05386232492094,1461.067501273717,543.3108477859362,190.3796660893866,190.3796660893866
2018-03-10,3.71947,254.86395551447387,241.61928465703411,106.61919788337188,59.759919789661794,77.7157143117661,79.75290573782215,156.533133866336,336.83831989818253,63.629311436980814,59.35833958110435,59.35833958110435,112.64596900358951,183.50684865111265,80.78113124448356,825.4522206123506,98.34056655472908,1106.8187503067466,551.8713266458896,158.16779298855778,158.16779298855778
2018-03-17,3.37375,189.72123570534905,190.4350272558349,108.56812113829992,43.306660169547605,66.24511762257822,40.38640702645321,87.80524221316331,267.4158215469968,74.60547861404487,74.4717675835003,74.4717675835003,91.66226470399523,149.13968024873725,42.9751849441532,638.291615092417,95.74937380869343,864.4571045740204,565.9489689686901,114.5194266849182,114.51942668491822
2018-03-24,2.35595,189.21500267712028,187.4003413232848,78.6668082827351,44.43494601300205,60.57804604469319,79.88875735819438,122.7363246160782,312.54841556988515,48.50006019661623,71.09879816652487,71.09879816652487,99.98094549139236,130.3784939316907,45.07300425642899,538.0837214828944,77.52358951860738,843.4220462437411,528.3546816862014,107.82795371099272,107.82795371099272
2018-03-31,2.59165,205.92495532569384,198.5404900038463,103.51602352731692,40.3717635437446,49.25691982179621,81.96907717088554,69.29956573129093,293.55987682453423,67.79978701659668,69.97218031168933,69.97218031168933,111.04050492880872,90.52442649873828,50.52048082091407,539.4179125536391,61.61782266704089,792.7511419421156,527.114127053402,101.43836534129696,101.438365341297
2018-04-07,2.34435,131.17962097638664,173.4569072456871,76.21237712828808,38.28989950497344,46.47709454985942,61.610492729267456,108.68661680098032,296.0519367236403,32.0177925161314,54.88652122594494,54.886521225944925,59.37081446704707,96.2200899810156,44.40951330212035,444.795786197743,46.18096094122738,686.5908070038914,574.6584285104555,87.48628711553829,87.48628711553829
2018-04-14,2.19619,146.03718663479978,139.32571234841402,56.58989305878342,31.633162594427628,53.62562199702643,58.53820862507376,62.472120087273005,284.6634328803779,33.598592582743365,28.009251503939087,28.009251503939087,56.510168642348205,102.6055745433718,41.63997707535393,403.207176001613,38.5202714546853,619.360581744174,523.3468725745254,49.54590711474462,49.54590711474462
2018-04-21,2.22306,95.20016535539244,99.12890065971251,42.35842385943262,33.67819532937722,35.85716099225171,42.33799761306936,62.104396101358645,247.35152662373352,26.816714587366267,56.16632472580678,56.16632472580679,0.0,68.81579785372675,44.67767346643565,280.72524576528303,48.04426141150392,557.3459767132165,583.5728692361007,64.83195308319331,64.83195308319331
2018-04-28,1.59244,104.5568693128444,119.32234293621948,44.23967179630363,29.36800093080354,48.61284858232643,28.477675321654388,58.36279579899841,221.0458175049072,39.42375047689342,44.85711544197666,44.85711544197666,42.97512340374278,54.49217834031533,0.0,261.0665115071976,43.486426538044746,431.246422751724,551.5416474864542,60.827228422908405,60.827228422908405
2018-05-05,2.20051,78.57823425345488,86.79070327177503,0.0,0.0,0.0,41.06440501667904,53.82940973329464,188.0533878862525,61.81542294393932,0.0,0.0,0.0,64.43893039075269,0.0,263.9913635838623,51.223981035454585,403.8349259699276,489.0552944179127,61.98197094794165,61.98197094794165
