date,Minnesota,influenza a,a influenza,pneumonia,influenza b,stomach flu,influenza symptoms,rsv,flu symptoms,the flu,how long contagious,symptoms of flu,the flu symptoms,influenza contagious,flu how long,how long flu,strep,sinus,strep throat,influenza a symptoms,symptoms of influenza
2012-06-09,0.75266,0.0,0.0,601.0116146971305,0.0,155.99307054041964,0.0,0.0,0.0,0.0,146.37529233435643,0.0,0.0,0.0,0.0,0.0,1236.573650692276,1066.979990671531,737.079749984949,0.0,0.0
2012-06-16,0.705467,0.0,0.0,680.2275534128623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1038.344313139135,932.6973896322212,603.0827845177587,0.0,0.0
2012-06-23,0.383142,0.0,0.0,681.373233997131,0.0,0.0,0.0,0.0,0.0,0.0,170.27221114839062,0.0,0.0,0.0,0.0,0.0,897.7484396299654,726.1421716294958,597.3501686137249,0.0,0.0
2012-06-30,0.898802,0.0,0.0,425.2402749135069,0.0,0.0,0.0,0.0,0.0,224.8874106628365,0.0,0.0,0.0,0.0,0.0,0.0,868.4995989778453,971.000115813508,532.2967423324367,0.0,0.0
2012-07-07,1.02547,0.0,0.0,508.5237223978453,0.0,0.0,0.0,0.0,0.0,149.46163605512254,0.0,0.0,0.0,0.0,0.0,0.0,815.1687598344766,616.7809156712602,397.1184417176351,0.0,0.0
2012-07-14,0.765373,0.0,0.0,657.3052954496721,0.0,0.0,0.0,218.61677520169175,0.0,144.65075711686444,0.0,0.0,0.0,0.0,0.0,0.0,1065.330053831341,994.947038491002,716.8970030945135,0.0,0.0
2012-07-21,0.467897,0.0,0.0,549.5432339298485,0.0,0.0,0.0,0.0,175.6313043427931,0.0,192.06908632013287,0.0,0.0,0.0,0.0,0.0,928.2662304827796,986.1944405693628,502.1119965213703,0.0,0.0
2012-07-28,0.676956,0.0,0.0,833.242323290772,0.0,0.0,0.0,0.0,0.0,171.0548293127297,131.35011935398867,0.0,0.0,0.0,0.0,0.0,1107.6866148759018,925.2980473530432,729.2259418955045,0.0,0.0
2012-08-04,0.709906,0.0,0.0,558.2760710010382,0.0,0.0,0.0,0.0,215.6029013267202,0.0,158.20578318468714,0.0,0.0,0.0,0.0,0.0,798.5305147102782,1040.5240306838623,434.6584943746503,0.0,0.0
2012-08-11,0.659898,0.0,0.0,754.317616643085,0.0,213.9615114504968,0.0,0.0,221.0245971073435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,881.1147184924652,983.7065267717264,719.0239938857243,0.0,0.0
2012-08-18,0.278862,0.0,0.0,737.480707753366,0.0,0.0,0.0,0.0,194.08130267011427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.7283012645804,751.0158277206273,401.795709046238,0.0,0.0
2012-08-25,0.475059,0.0,0.0,672.3580817873275,0.0,0.0,0.0,0.0,314.3015391371423,180.06522617964612,0.0,0.0,0.0,0.0,0.0,0.0,852.9997705264252,1240.0034738404097,492.3814919967601,0.0,0.0
2012-09-01,0.300996,0.0,0.0,589.3384476776307,0.0,0.0,0.0,0.0,344.0863008331114,231.4706076630821,338.0034950728299,0.0,0.0,0.0,0.0,0.0,1026.207969872393,1188.4351495151836,593.2613160900835,0.0,0.0
2012-09-08,0.431144,0.0,0.0,807.1715559776811,0.0,0.0,0.0,0.0,321.7345733629419,0.0,0.0,0.0,190.8288335920297,0.0,0.0,0.0,899.8996486457091,1286.1878480568175,502.9040606334325,0.0,0.0
2012-09-15,0.641711,0.0,0.0,709.514142443771,0.0,156.16809720732124,0.0,0.0,282.084977359988,431.5487553910736,154.94654297596205,0.0,0.0,0.0,0.0,0.0,991.7338657154183,970.5030292390448,553.6435468340071,0.0,0.0
2012-09-22,0.704225,0.0,0.0,1255.9229359626158,0.0,344.6610002252768,0.0,0.0,184.2898808428942,283.1037702945652,0.0,302.6288332951368,0.0,0.0,0.0,0.0,1072.700004566561,1237.2599774143598,686.1638344434082,0.0,0.0
2012-09-29,0.649491,0.0,0.0,1147.4025118165569,0.0,169.38232509932573,0.0,0.0,526.0962293133356,476.9426626850839,0.0,0.0,0.0,0.0,0.0,0.0,1153.6920203601867,1398.77788116565,807.4496406595337,0.0,0.0
2012-10-06,0.871795,0.0,0.0,922.2211691318562,0.0,201.795269842224,0.0,0.0,455.5862478222402,332.258609917502,0.0,0.0,0.0,0.0,0.0,0.0,973.2113395948578,1014.3117027861668,819.8896385708675,0.0,0.0
2012-10-13,0.483092,0.0,0.0,929.1397971258076,0.0,154.39820258333037,146.07885559489566,0.0,445.9446247791616,629.6159545571783,0.0,0.0,0.0,0.0,0.0,0.0,855.111780654378,1060.7682978690852,527.9539004094296,0.0,0.0
2012-10-20,0.556816,0.0,0.0,953.9031237424604,0.0,382.497793849264,0.0,0.0,505.8216115975057,586.7712674058689,210.2228922065089,0.0,0.0,0.0,0.0,0.0,920.9533927055164,1166.270857949376,635.0988828336585,0.0,0.0
