date,Michigan,flu symptoms,the flu,symptoms of flu,the flu symptoms,flu how long,flu cold,rsv,stomach flu,how long flu,influenza a,a influenza,contagious flu,influenza symptoms,flu fever,fever flu,flu contagious,flu a,is flu contagious,bronchitis,strep
2013-06-29,1.45393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.46720643166108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.98670458250598,0.0,254.70470621150963,813.439904846996
2013-07-06,1.86465,132.4345484102177,138.15252050902922,0.0,0.0,0.0,0.0,0.0,185.499214246696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.66336681909183,678.4471420940572
2013-07-13,1.26174,171.01911351116297,172.64472421556655,0.0,0.0,0.0,0.0,0.0,149.02965537757814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.9784424069445,0.0,349.4266566977048,681.7429961020777
2013-07-20,1.61791,121.44325009828276,192.7447816325728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.8080277194909,715.1132637269407
2013-07-27,1.17672,110.39526725283802,0.0,0.0,0.0,0.0,0.0,0.0,157.16143706876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.58712270520783,835.005332320977
2013-08-03,1.20076,160.13700032097702,125.4728653905834,0.0,0.0,0.0,0.0,0.0,163.015968651955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.60982922208603,0.0,254.74392863317772,595.9413653846648
2013-08-10,0.963801,0.0,124.43338942076356,0.0,0.0,0.0,0.0,0.0,136.27142698515746,91.72038841464608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.41642803914655,0.0,205.4484330083916,613.9494068326686
2013-08-17,1.13792,98.55572968662544,0.0,94.12088261165012,0.0,0.0,0.0,0.0,192.91560627466907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.316912101977,684.5358073367865
2013-08-24,1.10357,141.24169165091877,194.64865794217752,0.0,0.0,0.0,0.0,0.0,95.9491117434926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.45277765796874,563.851650728933
2013-08-31,1.3688,0.0,171.5144464340548,98.9996692642651,0.0,0.0,0.0,0.0,133.7822085642094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.8755834722708,711.9647069800118
2013-09-07,1.20918,180.39662369794672,120.24128361801152,0.0,0.0,0.0,0.0,0.0,114.20786894842206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.41253704075116,0.0,405.9150034660189,707.1827802500864
2013-09-14,1.71218,213.3911654573012,317.4281994848221,133.1416249065136,0.0,0.0,115.51880583731511,0.0,131.60911120996104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.7908103093989,0.0,523.1674909845638,886.8104917103992
2013-09-21,1.775,166.9600733807274,289.88218064360126,0.0,0.0,0.0,147.86213866798946,0.0,112.20198473684304,0.0,138.4286478684238,0.0,0.0,0.0,0.0,0.0,0.0,235.9741364051734,0.0,358.2629463264841,947.2697415369096
2013-09-28,1.18761,264.1292927209833,439.5918854015864,136.42352816888422,0.0,0.0,152.7642266669284,0.0,0.0,0.0,102.44560887793511,0.0,0.0,0.0,0.0,0.0,0.0,220.1316423332457,0.0,590.6709681029282,806.2897043458875
2013-10-05,1.1005,305.4090542802789,578.2721297684863,0.0,0.0,0.0,159.89531683785083,99.69234938104314,172.18183571739888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.68554814030776,326.39187302864724,0.0,652.9913058404594,947.8092218867212
2013-10-12,1.1484,252.28792167972728,454.7143711645071,155.7049221886115,0.0,137.9621929612243,145.53574883781155,99.768908899913,193.04225300595365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.96026951220009,0.0,518.6850707036847,745.1314617759159
2013-10-19,1.27306,112.7269574708842,567.9035596155468,0.0,0.0,0.0,144.91962659620629,108.68525356007729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.3346915312455,0.0,635.5473362454278,822.1405109906494
2013-10-26,1.07441,348.3783793272479,823.5727319947086,0.0,0.0,133.90190563490137,114.87991393114028,104.99528503236178,157.94271945539208,112.19268400874653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402.4683490666012,0.0,652.7062387539931,1105.087002755841
2013-11-02,1.15028,327.09700705212566,630.890332915255,0.0,0.0,140.96455863243594,0.0,0.0,263.1649069565012,171.85469021559553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.42627222367145,0.0,610.6100455128352,1035.4680963226283
2013-11-09,1.35071,381.6608336267384,523.7088962532882,160.09689384384825,0.0,162.13931376938643,0.0,163.04431967876457,136.9653844306077,100.51732502845084,156.88792768371846,0.0,0.0,0.0,0.0,0.0,0.0,238.24201337204184,0.0,721.5070492569114,993.053837461808
2013-11-16,1.4787,270.1656625925605,447.2981465332306,106.36197401155762,124.7945393506754,123.56200880860844,126.21073928605084,0.0,138.4915936143114,110.16101301725377,0.0,0.0,0.0,0.0,0.0,0.0,97.37381063505909,303.28253492263,0.0,769.7422496363307,941.129670452658
2013-11-23,1.4711,258.4749667332751,453.7863165394924,0.0,0.0,0.0,116.78883249851393,241.42978337693964,234.00058538863024,129.37871477134655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.03514362378252,0.0,717.65632494973,832.3178155660635
2013-11-30,2.41871,262.8271951410068,425.45819514802815,0.0,0.0,138.17105923265652,0.0,335.5705988595611,342.8083164104868,107.00788798917364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.98036473613784,0.0,633.9299964316591,967.870981983562
2013-12-07,2.14276,500.82463677037697,630.6495396371278,0.0,186.30342929199804,108.73872713474066,149.13420759751875,221.77535351678227,547.6418438096521,139.79937498621396,0.0,0.0,0.0,0.0,99.9336909957036,99.9336909957036,0.0,306.69013288003543,0.0,723.8392776621824,826.5115968983118
2013-12-14,1.881,457.5785550181146,495.85734426118165,120.84880588148604,0.0,97.1809103111061,142.30373477416967,308.2498746839655,364.6539476139835,0.0,120.86533535942606,106.32073625276476,102.57433947328224,0.0,126.71907617945304,126.71907617945304,133.1991524848345,292.409475974686,0.0,840.827442471343,960.5427943780326
