date,Alaska,flu symptoms,the flu,how long flu,flu how long,symptoms of flu,influenza a,bronchitis,the flu symptoms,contagious flu,a influenza,rsv,flu cold,flu contagious,stomach flu,flu a,pneumonia,flu fever,fever flu,how long does flu last,sinus
2012-12-22,2.21687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1666.6610706568956,0.0,0.0
2012-12-29,4.07855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-05,2.16573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1873.681920886775,0.0,0.0,2222.6739914580635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2632.302792784725
2013-01-12,2.26433,0.0,1837.2403753428523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1751.8108446476133,0.0,0.0,0.0,0.0
2013-01-19,2.53279,0.0,1992.0203770235316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-26,0.979858,0.0,0.0,0.0,0.0,0.0,0.0,1538.9324369946405,0.0,0.0,0.0,1423.7703597976415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-02,2.47636,0.0,1454.4955903191694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-09,1.56726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1640.9921474574917
2013-02-16,1.04879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1874.625765807017
2013-02-23,0.89782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1287.4445654558087,0.0,0.0,0.0,0.0
2013-03-02,1.0296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1768.1692100781931,0.0,0.0,0.0,0.0,0.0
