date,Indiana,stomach flu,rsv,the flu,flu symptoms,influenza a,flu how long,how long flu,symptoms of flu,pneumonia,a influenza,strep,sinus,flu a,influenza symptoms,flu type,contagious flu,flu fever,fever flu,flu cold,the flu symptoms
2015-11-14,1.221,246.46609033972408,302.8739980866156,506.5523025147057,369.2241338595289,0.0,0.0,0.0,0.0,1198.4572345655076,0.0,1253.1598416668648,1435.4934346163288,483.7471060542754,0.0,0.0,262.9568140728437,0.0,0.0,399.46834924209816,0.0
2015-11-21,1.19584,241.81357927707333,0.0,688.0758156717956,493.2453900965705,0.0,0.0,0.0,0.0,1473.237571969287,0.0,1213.7651955596366,1715.5470599018868,558.5429597632395,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-28,1.48581,370.9950959677717,0.0,607.9712622846781,322.9634140725515,0.0,0.0,0.0,0.0,1336.2304067218938,0.0,1202.9973451565006,1152.8291466941423,387.0659979132705,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-05,0.891104,441.05912573871376,203.6486059446032,854.6053568751502,399.4476166138169,0.0,0.0,0.0,0.0,1468.3374591780516,0.0,1258.469761604292,1598.6738472756117,205.31007240551708,0.0,0.0,0.0,0.0,0.0,218.5020687776707,0.0
2015-12-12,1.42664,321.58457755408494,0.0,414.7098428241876,407.2847230266962,0.0,0.0,0.0,0.0,1241.4493764078024,0.0,1208.2850355861694,1538.4015741253495,0.0,0.0,0.0,0.0,0.0,0.0,236.0693931088309,0.0
2015-12-19,1.85714,484.6747097319581,248.8641307548663,463.7775138788646,390.7684578763564,0.0,0.0,0.0,0.0,1728.691165027924,0.0,1587.3487316562496,1667.1812495581912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-26,2.1843,429.3343208628473,310.98646870783216,400.8288560527295,427.5292819906064,0.0,0.0,0.0,0.0,1315.043984916773,0.0,1657.7960601672407,2026.6572086042283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-02,2.54879,559.033330467621,372.6858789452091,808.315374209401,466.7690400487382,0.0,226.24952487007653,226.2495248700765,0.0,1750.8403787717548,0.0,1408.9719967349051,2264.9651304563795,0.0,0.0,0.0,0.0,0.0,0.0,309.9879070928927,0.0
2016-01-09,1.45969,224.3860618891325,387.02008881724345,492.4912994809102,256.48270682693783,0.0,0.0,0.0,0.0,1669.329847228233,0.0,1088.1667493504935,2006.2097668073584,175.38701433358503,0.0,0.0,0.0,0.0,0.0,162.83949273191826,0.0
2016-01-16,0.945587,359.7349358012381,281.160301498976,416.09059032344544,368.8369164276985,0.0,0.0,0.0,0.0,795.0990778509452,0.0,1099.9410766770222,1590.8671367580332,0.0,0.0,0.0,0.0,0.0,0.0,327.8809403936005,0.0
2016-01-23,1.44479,166.38564020814016,250.7067721360431,380.94134106109465,496.8386145735585,0.0,225.89454046627725,225.89454046627725,0.0,1387.0371639629222,0.0,1065.710612462139,1768.669437589483,184.7200574438553,0.0,0.0,0.0,140.73822519721114,140.73822519721114,0.0,0.0
2016-01-30,1.56227,356.57252017052343,664.9002882112852,534.7905387631664,204.16980178774452,0.0,0.0,0.0,0.0,1584.9347529475413,0.0,1341.8900733730077,1753.065949401325,222.38134253199425,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-06,1.20893,223.4825115843458,608.0018929189706,591.3316887244258,330.7245414202012,144.9479791455563,151.11843657345057,151.1184365734506,201.48167466824188,1352.7037660693086,0.0,1170.2362844199124,1534.7850038560998,214.2712894207796,0.0,0.0,0.0,0.0,0.0,198.4052745717665,0.0
2016-02-13,1.50665,337.30578212114614,542.9324181849295,518.3411282678248,386.72767851848505,0.0,133.81822909655523,133.81822909655523,0.0,1465.7791132196533,0.0,976.2135953192676,1783.9806938194563,215.8438992604204,0.0,0.0,0.0,0.0,0.0,193.17457374862943,0.0
2016-02-20,2.05432,401.9422555182823,401.3939848518871,533.6571456735021,354.7286377535701,155.54881590716823,240.43039361045115,240.43039361045115,0.0,1148.3006031047055,140.292380446781,1352.0322588905915,1747.659350471801,182.4887757578992,0.0,0.0,0.0,0.0,0.0,258.390109359148,0.0
2016-02-27,2.7492,310.2814469953668,794.8638429568257,651.888076996709,721.0861388718674,194.18699111715432,168.2918517887324,168.2918517887324,0.0,1632.2453998674207,270.8467221457249,1517.4400852828394,1932.522581378822,298.89295802898425,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-05,3.48604,508.7468904768031,703.833156255284,1024.1370333817824,791.2621686033812,411.6811566719044,255.490615583744,255.490615583744,212.64383383462925,1774.0674539505017,585.6073371769,1671.9523442818029,1804.8929743039548,393.8641499317451,0.0,192.2365668595955,0.0,0.0,0.0,268.8420749730455,0.0
2016-03-12,4.73192,618.4030372261725,738.6989924707831,1182.1417809807313,989.306381019122,279.8954785025547,336.5125663893538,336.5125663893538,189.8843456745001,1458.9923409185187,368.8084313555634,1629.177361499421,1801.058631533556,430.2104262340811,180.59893924852375,0.0,134.49802804520274,221.82951425417835,221.82951425417835,288.74463526687936,0.0
2016-03-19,3.03411,363.4503198119402,558.9734284462248,859.2558581887024,549.076869316519,272.51150668530903,161.29540462569736,161.29540462569736,0.0,1410.9810959270103,259.6188490139237,1508.382958990146,1721.995611374536,389.08867560906754,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-26,2.26143,232.4487506950122,507.4834312455741,707.3216715288246,561.7311426420895,207.41524232793077,167.47672068830107,167.47672068830107,140.87007609672426,1288.0437109855263,217.96715258405644,1295.1850367467564,1458.6485420527606,262.2058351006441,0.0,0.0,0.0,0.0,0.0,210.36642495429453,0.0
2016-04-02,1.73858,489.2831311656515,406.8429508094037,689.634479616539,444.68785250724216,184.83219015278584,0.0,0.0,0.0,1233.234451058253,217.09423736190251,1295.0377036277391,1635.2880806115604,275.0274766458834,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-09,1.46894,310.0541989415846,306.7109649978668,342.2194599927829,441.46547050073934,0.0,0.0,0.0,0.0,1139.734991238122,0.0,1366.4302103461837,1614.347273149709,207.648035460984,0.0,0.0,0.0,0.0,0.0,226.127324627984,0.0
