date,Rhode Island,the flu,flu symptoms,how long flu,flu how long,symptoms of flu,influenza a,bronchitis,the flu symptoms,contagious flu,a influenza,rsv,flu cold,flu contagious,stomach flu,flu a,pneumonia,flu fever,fever flu,how long does flu last,sinus
2012-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1339.3729928306889,0.0,0.0,0.0,1017.868165631125
2012-09-08,0.0417885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-15,0.115473,0.0,978.9957904070444,0.0,2073.945425424355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,981.4279181063216,0.0,0.0,0.0,0.0
2012-09-22,0.0651148,1419.0890177687277,0.0,0.0,0.0,0.0,0.0,1499.2927122301128,905.1723344993334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1044.0904321123355,0.0,0.0,0.0,2076.305825173632
2012-09-29,0.153421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1611.608480899395,0.0,0.0,0.0,0.0
2012-10-06,0.199203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1439.7447754161783,0.0,0.0,0.0,1877.296261898915
2012-10-13,0.163339,978.31242067649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.9282244500355,0.0,0.0,0.0,1895.4211581030288
2012-10-20,0.273185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1144.213636044642,0.0,0.0,0.0,1144.2136360446425,0.0,0.0,0.0,0.0,0.0,0.0,1017.4353420959416
2012-10-27,0.388408,929.6389429270382,0.0,0.0,0.0,0.0,0.0,937.6918087493508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1423.9705039300436,0.0,0.0,0.0,1614.3316974679524
2012-11-03,0.1693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1037.5163383565173,907.1579742723646,907.1579742723644,0.0,0.0
2012-11-10,0.195754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,984.8332487124532,0.0,0.0,0.0,0.0
2012-11-17,0.158914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1349.2715035362903,0.0,0.0,0.0,0.0
2012-11-24,0.31348,0.0,1282.6463734470265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1116.332473407434
2012-12-01,0.424328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,851.069056100725
2012-12-08,1.1959,0.0,0.0,0.0,0.0,0.0,0.0,1080.6411224169124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1477.2622723351124,0.0,0.0,0.0,1146.8622603590168
2012-12-15,2.23984,1556.436949619898,1584.9689162058642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1068.4337422440676,0.0,0.0,923.6933239964164,0.0,0.0,0.0,0.0,1786.5877050915992
2012-12-22,2.72449,0.0,1349.0532601095922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1843.9745574423623,0.0,0.0,0.0,1394.2622653352994
2012-12-29,4.01822,2641.6092241750875,0.0,0.0,0.0,0.0,0.0,1571.7413116522996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3641.8711803421816,0.0,0.0,0.0,3210.244749898889
2013-01-05,3.00717,2690.2815145659024,1204.4154194582325,0.0,0.0,1058.0644655773044,0.0,0.0,0.0,1241.4833862986793,0.0,0.0,0.0,1241.4833862986793,0.0,0.0,1896.6043126823783,1558.58352354003,1558.58352354003,0.0,2394.9607792985425
2013-01-12,3.40512,3856.99434106256,5120.621839842122,1493.1868507610686,0.0,1654.2645874350335,0.0,1215.6865337100542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2954.2352443958816,1535.795327349812,0.0,0.0,0.0,1653.5900118316754
2013-01-19,2.82409,3169.918672180467,3860.6215763910327,0.0,0.0,0.0,0.0,971.8793269805744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1291.4484507483023,1940.1576632536744,0.0,0.0,0.0,1584.2328888961356
2013-01-26,1.49655,2295.812411559473,1675.5914689966528,0.0,879.5427780693005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1606.6986055129764,0.0,0.0,0.0,1476.718409903443
2013-02-02,1.70721,1120.1600316320048,949.8659640463568,0.0,1022.8765007307904,0.0,0.0,1172.9201510541063,0.0,0.0,0.0,991.9950051330868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1627.3766770002828
2013-02-09,0.914897,0.0,909.8453013376084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1788.791536220123
2013-02-16,0.770366,860.2611636834009,1124.8382144452496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1084.2621992011236,0.0,0.0,0.0,1560.214243396668
2013-02-23,0.590364,0.0,0.0,0.0,0.0,0.0,0.0,874.5557177892077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1490.773204392841
2013-03-02,0.375646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1289.513136972656,0.0,0.0,0.0,1044.237378634478
2013-03-09,0.449944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,808.3345725583198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1228.911962500966
2013-03-16,0.779912,0.0,0.0,0.0,0.0,0.0,0.0,867.6063103072744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1277.9764045962709,0.0,0.0,0.0,1426.1492374239008
2013-03-23,0.374298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,859.2626271981169,859.2626271981168,0.0,1165.0933570507789
2013-03-30,0.633453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,855.1885390064348,0.0,0.0,0.0,2167.358780709325
2013-04-06,0.497804,0.0,0.0,0.0,0.0,0.0,0.0,1083.5345177772722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1667.5412607366757
