date,Virginia,flu how long,how long flu,flu symptoms,the flu,bronchitis,contagious flu,flu contagious,flu cold,flu a,symptoms of the flu,rsv,symptoms of flu,the flu symptoms,pneumonia,sinus,stomach flu,how long does flu last,is flu contagious,flu incubation,fever flu
2017-04-08,2.70719,204.97550714822395,204.97550714822395,470.8763320673015,746.0339020860682,592.1900670314049,84.28684111235665,84.28684111235665,182.34000930207523,253.6489630614048,0.0,102.16902439437172,111.35834721282252,96.65847341790068,999.623462122462,1507.5381154207164,269.5541648133862,0.0,0.0,0.0,114.88102826213448
2017-04-15,1.91896,113.36350288516564,113.36350288516564,324.8259580655369,484.53953133984936,533.0319989264669,0.0,0.0,137.9948267870426,163.3854900177245,0.0,84.09246945098471,0.0,0.0,920.3024445561258,1610.2839022392795,205.6448291279916,0.0,0.0,0.0,113.98240198931302
2017-04-22,1.40519,98.80480549944156,98.80480549944156,285.5748840574662,445.5452600088094,499.34025236227575,0.0,0.0,114.28242240359872,125.43435813210056,79.78834000484343,0.0,114.76511684547168,0.0,982.2911436110792,1346.8900553039714,266.5725601193058,0.0,0.0,0.0,95.35168270410648
2017-04-29,1.2409,98.78941104648328,98.78941104648328,149.979143293616,383.48412553310783,544.5250621699258,0.0,0.0,0.0,142.39248923495643,0.0,85.74936637938467,81.76441190654275,0.0,884.4893908050643,1285.95056724631,180.4015973033701,0.0,0.0,0.0,0.0
2017-05-06,1.08838,0.0,0.0,203.4396400531318,246.90479954184207,523.795845690081,0.0,0.0,74.96863407903177,102.47283214092258,67.9862590875683,0.0,78.18896152929858,83.77453259065429,784.3322395406328,1237.3811034470034,0.0,0.0,0.0,0.0,0.0
2017-05-13,0.975527,0.0,0.0,198.38953483478437,311.26028748448704,544.914497142446,0.0,0.0,110.93975927029476,137.5004350114325,142.0821953936861,98.0295644683954,83.24991479524418,91.68134757964826,667.0092809149875,1440.9050918580922,119.57506748777168,0.0,0.0,0.0,0.0
2017-05-20,0.991409,0.0,0.0,193.53892819512507,169.2896340552153,621.1908750098333,0.0,0.0,93.43861004563742,71.52761625540047,0.0,94.06934843091952,70.87928477118264,0.0,783.7911253851986,1587.2163522321223,0.0,0.0,0.0,0.0,0.0
2017-05-27,0.983982,0.0,0.0,222.91577583329325,225.52781534979076,541.4291513283839,0.0,0.0,127.77454169719688,85.81688953746976,0.0,95.3069583764306,0.0,0.0,742.2805164077948,1404.7473196043975,0.0,0.0,0.0,0.0,91.53875213227036
2017-06-03,1.06009,0.0,0.0,77.41868567127155,139.7063274580513,470.6290159821844,0.0,0.0,0.0,88.08077698774568,0.0,0.0,0.0,0.0,833.4764432936377,1177.3719437744955,0.0,0.0,0.0,0.0,0.0
2017-06-10,0.873619,0.0,0.0,110.56784037622512,163.28916806677037,423.1780572033257,0.0,0.0,0.0,0.0,0.0,77.15076239424896,0.0,0.0,757.6086308257013,1201.6728807690235,135.68453217873832,0.0,0.0,0.0,0.0
2017-06-17,0.793261,76.80358418765441,76.80358418765441,141.4093860422866,174.46397383707614,411.5502278479011,0.0,0.0,0.0,0.0,0.0,0.0,93.74115752178304,0.0,680.5235420445151,1063.576510827695,132.6590772835944,0.0,0.0,0.0,0.0
