date,Missouri,rsv,cold,the flu,flu cold,stomach flu,pneumonia,a influenza,influenza a,flu symptoms,sinus,how long flu,flu how long,flu a,bronchitis,influenza symptoms,symptoms of flu,influenza a symptoms,the flu symptoms,how long does flu last,contagious flu
2017-08-05,0.0507614,0.0,6767.740757800262,164.95183439302676,0.0,163.838734198468,630.9903823803834,0.0,0.0,182.61589119300703,1017.762953487774,0.0,0.0,0.0,333.5061383700772,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-12,0.0,127.4303447708454,6556.576361838724,118.90424560277204,0.0,0.0,836.1159974673069,0.0,0.0,0.0,1271.1278889925134,0.0,0.0,0.0,286.677507864268,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-19,0.0850702,0.0,5895.562342469004,145.69652527425055,0.0,153.9541067969781,566.1164595545063,0.0,0.0,141.75881638986633,823.0464612301998,0.0,0.0,238.68854320597853,425.8134858772748,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-26,0.0951173,0.0,6142.67872768022,267.626689192761,0.0,0.0,651.0824996131606,0.0,0.0,128.08363785230756,1158.862432943029,0.0,0.0,0.0,248.7717361865357,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-02,0.0928505,0.0,6689.662044670744,156.01227561685528,0.0,137.2289117414224,931.2850314742856,0.0,0.0,249.19469185998997,1506.765764428117,0.0,0.0,113.77567026534552,420.073073233116,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-09,0.387597,0.0,6935.443439270359,212.97343532736352,0.0,193.1420927526208,702.8656814756894,0.0,0.0,203.6762988157736,1235.746125723589,0.0,0.0,146.1528809845758,525.8508711158652,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-16,0.494777,0.0,7155.1697525651325,473.3542395198988,142.73848424125103,161.2369761755954,793.9211193106489,0.0,0.0,215.03884065450617,1602.0922535993836,0.0,0.0,178.82243062126983,504.9226909929282,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-23,0.614182,0.0,6859.8506111534125,399.1513842766525,144.87385321586694,181.3170921669949,1052.6894881072358,0.0,0.0,371.5776968603016,1521.1623157686358,138.23797691850916,0.0,282.1857872674749,608.172048527097,0.0,0.0,0.0,115.69636629978535,0.0,0.0
2017-09-30,0.769003,0.0,7029.8049190019965,577.7882871309843,131.80247388059576,213.7625149951917,875.9688728068344,130.92307020037094,130.92307020037094,192.6930620625257,1315.0181201019675,0.0,0.0,420.2529106943824,645.6203687207085,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-07,0.445236,211.37274315464097,6864.349248893566,523.5802145697362,172.95807227590456,282.50763309134044,1274.614398122124,0.0,0.0,395.3636838755077,1382.8352572226986,0.0,118.1609878386544,564.9753976073172,473.5138239414907,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-14,0.523918,203.8383334936735,7155.627126890647,661.6895139087286,120.27586228859197,330.7481651789776,1056.5781195603986,0.0,0.0,332.59635503986084,1559.6861010992957,227.92657885310703,278.8830704586572,566.1745113668889,538.3794254841949,0.0,143.1676785288968,0.0,0.0,0.0,0.0
2017-10-21,0.779459,112.75144641674578,7392.473139186536,719.3953979572378,208.0639544447937,210.8736227879654,1198.1088002927513,0.0,0.0,352.2700179586673,1674.597779806504,0.0,0.0,558.642817684977,494.3151758145082,0.0,115.12389221608558,0.0,0.0,0.0,0.0
2017-10-28,0.877785,204.21817403702823,9280.522671240173,803.8769590904784,143.4304927840906,275.0289380020748,1160.9822624419644,0.0,0.0,407.5524414259145,1498.5811437603568,146.65807591644463,139.8713641894015,384.21815152523845,545.2503808019725,0.0,116.39836483520436,150.95787576490767,135.29988579027454,0.0,0.0
2017-11-04,1.1684,137.83760937867237,10467.038453144214,706.521322542028,281.08805749550305,375.1740567192507,1252.8697551172313,0.0,0.0,298.09763788962675,1574.5221096004962,191.23960883682733,123.18754010702808,383.441103068885,854.6343994906861,0.0,0.0,113.06912487780986,281.4577763907027,0.0,0.0
2017-11-11,0.99566,144.79680961109216,10998.51704926863,638.7033630229165,180.18647345009563,369.02183848807135,1342.7759887115174,0.0,0.0,462.9192228012481,1488.2271631611825,209.659733284461,134.1895364704032,403.3129310567584,726.4392239632754,0.0,0.0,173.2905346189609,0.0,0.0,0.0
2017-11-18,1.26502,283.31812723228325,9681.142794073608,639.6288830699445,273.3208111983024,496.5154310875188,1199.4194420875142,0.0,0.0,460.32613403556167,1736.892173501427,145.1843516140017,196.71294223403112,371.9680846265425,645.2729528392946,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-25,1.39695,365.0769124338527,9596.900494725378,593.2264828927481,193.0762015041034,501.2565773665733,1156.2665420537808,0.0,0.0,423.40080235179937,1686.50603630645,150.859015247909,241.49179927806043,414.60290050600713,810.551073880442,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-02,1.42461,407.8221303894878,10117.888573884353,720.1845414721485,266.0766555334706,549.1228591996613,1129.205388476264,159.7366520955507,159.7366520955507,512.2717100269123,2077.8412634737906,177.65632434113695,172.13206857129322,388.2356818426692,824.9383164190849,0.0,0.0,0.0,0.0,0.0,214.04754551814375
2017-12-09,2.27393,277.865003570963,11327.463626406265,773.3743218010967,237.85601112967765,634.5790366243073,1527.2731270189036,314.9066805451882,314.9066805451883,716.1978740132959,1709.698686041668,226.26450923358863,193.06315818389223,285.44974733926136,826.1254384595594,136.41712989255566,181.7373250549421,142.60713446677238,156.38992349261963,0.0,0.0
2017-12-16,2.78846,577.1077943135679,11432.148521897994,1220.7290057213725,377.9836121525656,741.9776641932408,1471.447391170961,333.06500910862246,333.06500910862246,1053.581140112254,1902.2891716379456,388.9103082099015,322.535284218172,624.0763011674428,877.1017406473632,192.6236414730932,172.7012540181667,0.0,165.76998316140197,0.0,0.0
2017-12-23,4.90646,931.81723974344,11085.063572344909,1954.20828041798,464.2144665167155,799.357881625454,1763.1989030520265,1274.2191418806278,1274.2191418806278,1336.049607026397,2205.3955304109268,903.0835003686584,945.5394900670055,972.4254834718377,959.1417532641648,473.6798792644793,0.0,308.4619943603389,0.0,329.0681100346304,424.7354480101427
2017-12-30,9.33202,970.4438890553396,19640.64953716281,2885.970511213968,523.0824460966271,1208.8882133999127,1874.4459497481284,1152.192516293095,1152.192516293095,2054.380103709096,2817.2595028655687,928.069175408035,923.6152713347572,1173.072291836775,1219.0616565200671,438.6072636024389,506.40153283916,288.2157631689014,441.7597072340061,231.4735771543324,268.6561706820204
2018-01-06,10.7473,1158.1127560202412,23552.68052149992,3217.8750075330486,791.3956292771761,1085.6216394648825,2206.16701520838,1702.34931470047,1702.3493147004697,2536.5293974925908,2545.014578045353,966.5762878982714,1000.7180042919798,1378.8236490109614,1370.5616338976492,659.5741029384734,556.0918055990606,528.4147694352234,365.0057262495765,441.8787997184058,355.16683515768904
2018-01-13,8.80156,1178.6154502303295,13026.580626766618,3898.918624716998,570.3713922136952,982.1876811218852,2334.783351647401,1534.558044853692,1534.558044853692,2896.892994181687,2011.860527229892,1115.5418540278931,1146.450529921352,1479.2490192499447,1242.578101676644,539.5522044400839,730.8950481308042,364.3716771569811,429.90714395940455,377.7670163543704,455.3998464232765
2018-01-20,11.2224,1070.5304148089333,15635.401552130284,4982.427352504105,732.2409773600133,942.2225396132462,2157.679823595261,1858.067298840473,1858.067298840473,4419.352527158443,2336.0507031691286,1242.2629786533123,1264.734902192541,1797.1574693399534,1296.7756075206205,811.7808829308407,935.4753972497044,409.3926484503077,679.1118575066723,351.80687291688974,614.8736278292197
2018-01-27,11.1635,1252.8217931378683,9818.169021252404,5620.838788202256,662.8983610719033,822.1354874586954,2579.7819607801925,1798.4800770324214,1798.4800770324216,4421.215226170314,2042.6070640734351,1111.36394172185,1084.892498588168,1863.6901642186797,1212.5341201641745,805.302172093195,1136.2969778007166,548.6664456994932,648.1252562382956,405.96417101070926,383.97421066567
2018-02-03,10.7224,1300.6416203443987,9998.645234938404,5438.607032319766,770.4942956166018,749.7879881126831,2070.330754831086,1499.341007139726,1499.341007139726,4422.4340074229085,2208.1905860148554,1182.1600687137386,1170.9120454484505,2166.6256795573117,935.0637302005448,598.4230850875325,1186.553877569423,341.71556964645293,688.0552113264292,407.45553506573225,478.9556989544104
2018-02-10,9.99242,1144.3871791969232,11370.885444318494,4720.750597774284,758.5253288550005,822.7463883553999,2059.941012796658,1382.6454964810816,1382.645496481082,3657.207576810916,2156.760040864707,941.9331914292674,877.1231667761267,1695.4063864301002,1179.4197820162417,697.3149535868811,931.7174097771951,373.2910622518997,754.5472823108512,245.08952129896792,351.29513966863834
2018-02-17,8.79233,846.3984745103686,10259.183071316113,3994.741841409601,460.1210602939752,757.5028660273873,1916.8176061524812,1015.29205037873,1015.29205037873,3128.124572006621,2023.2939352462936,897.5858971967187,833.9191876004714,1487.1032361907398,999.7595193388725,541.7578193060325,868.231855548541,236.1426887519128,561.8433951943613,273.26627319732984,521.098016933847
2018-02-24,5.33869,857.5635813145584,8800.404091099885,2572.37259006376,424.7585435662349,583.0242061085545,1785.8599097455417,753.7280248548838,753.7280248548838,1947.5486310659965,2012.8661939285116,728.6467675406492,622.994023397258,1027.4867483511134,900.5641693954859,437.250308590013,412.6136160145662,284.42088035506345,275.7747124144898,301.59677119320054,234.42179973572576
2018-03-03,3.62191,623.709180278599,7804.909025792822,1535.9349306323238,325.3021635431624,514.4393288669448,1668.2351803114016,494.3162608050969,494.316260805097,1319.1134821735525,1933.5315037338996,425.2775928904389,540.5582938086551,754.8629066772548,784.6510275420252,227.7178642145681,315.36371336748323,0.0,215.1179266638612,195.5191624320579,180.8989792758561
2018-03-10,3.07167,625.1405207861553,8538.258953923507,1204.3737369240516,200.7352331474332,543.1795301242857,1209.610183437264,362.89003735261497,362.89003735261497,976.2068885837688,1797.6886064956666,283.57610273303817,319.71639916225826,580.5144110013371,740.0317826307474,160.0532965232543,196.2531453659167,0.0,130.48720659801637,204.32767986700048,167.70796013698043
2018-03-17,1.49655,639.247866569373,8640.324641793595,752.919500467306,184.3144681267221,384.9429958426612,1424.8038983171464,265.0347448431666,265.0347448431666,552.6663391766641,2049.4219890390327,218.4756715471621,231.62772414527868,251.95948992995977,844.1952558239584,238.0007239676551,0.0,0.0,0.0,109.63596588569747,0.0
2018-03-24,2.99745,430.2556683063623,8784.822111946927,768.1615143172719,0.0,295.96585315537965,1219.603546769832,237.87595518216125,237.87595518216125,514.0870192249718,1930.3977082521535,185.93812483336163,0.0,230.18883936456564,664.0956990962684,129.22613687613512,109.89391218928616,0.0,124.91871127728102,0.0,0.0
2018-03-31,1.60183,399.36694311872566,7609.086180596085,673.78033890779,0.0,262.2863415479347,1080.3958892822216,223.1407353930952,223.14073539309516,525.9320735784735,1586.6218707719645,183.5412999091532,175.78672417177432,442.6314238575153,703.9070006832476,125.11125067871028,188.01694134092625,0.0,0.0,0.0,0.0
2018-04-07,1.42001,505.93770202291074,9249.733619941597,507.6017345297384,159.68895064085822,393.29598738131546,1458.6595687716576,122.32945296446104,122.32945296446108,417.1948719447021,1908.434194592733,152.21238969010497,147.94996096442802,233.39667472489683,800.4993019332373,130.70406196035913,129.7804482457571,0.0,0.0,0.0,162.38882333653174
