date,Hawaii,flu symptoms,the flu,how long flu,flu how long,symptoms of flu,influenza a,bronchitis,the flu symptoms,contagious flu,a influenza,rsv,flu cold,flu contagious,stomach flu,flu a,pneumonia,flu fever,fever flu,how long does flu last,sinus
2014-05-03,1.78462,0.0,0.0,0.0,0.0,0.0,0.0,788.4024447398958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,680.9908861553985,0.0,0.0,0.0,1433.596608508983
2014-05-10,1.81932,0.0,0.0,0.0,0.0,0.0,0.0,697.2764544349644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1293.2814642956816,0.0,0.0,0.0,1139.544748004217
2014-05-17,2.41477,670.9325962504568,0.0,0.0,0.0,0.0,0.0,737.4176975134495,0.0,0.0,0.0,0.0,0.0,0.0,756.4861209906115,0.0,1805.1187035931664,0.0,0.0,0.0,1676.2863466609904
2014-05-24,3.3213,0.0,0.0,0.0,0.0,0.0,0.0,713.4441177204714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1053.336587652759
2014-05-31,2.83286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1386.5405580230597,0.0,0.0,0.0,1509.4923974788142
2014-06-07,1.30971,0.0,0.0,0.0,0.0,0.0,0.0,1106.8568936078975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.6515255541791,0.0,0.0,0.0,873.8492794365394
2014-06-14,2.92154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,968.1527378145786
2014-06-21,1.61638,0.0,0.0,0.0,0.0,0.0,0.0,1496.5400367097332,0.0,0.0,0.0,0.0,0.0,0.0,727.4198030709185,0.0,1492.7738950685657,0.0,0.0,0.0,1055.4778629336784
2014-06-28,2.82609,0.0,0.0,1122.144927921215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.96328758012,0.0,0.0,0.0,749.468822029061
2014-07-05,1.67286,0.0,0.0,0.0,0.0,0.0,0.0,704.2751446702351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1093.101081011607,0.0,0.0,0.0,1394.577265740661
2014-07-12,1.68577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.2541950283728,0.0,725.4607220067887,0.0,0.0
2014-07-19,1.61064,0.0,0.0,0.0,0.0,0.0,0.0,657.6218413320753,0.0,0.0,0.0,0.0,0.0,0.0,822.1598915200043,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-26,1.7673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,861.5187413370617,0.0,0.0,0.0,965.2363677183216
2014-08-02,1.03774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1012.5553986860086,0.0,0.0,0.0,1023.4142005303522
2014-08-09,1.07875,386.97026029230193,0.0,0.0,0.0,0.0,0.0,610.7228341672726,0.0,0.0,0.0,0.0,0.0,386.6002868171756,0.0,0.0,681.6616792546557,0.0,0.0,0.0,907.7106855724686
2014-08-16,1.41176,367.7693409577168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,875.9007224041659,0.0,0.0,0.0,906.1918453962784
2014-08-23,0.566251,0.0,0.0,0.0,0.0,0.0,0.0,453.82175087099705,0.0,0.0,0.0,0.0,0.0,0.0,409.2504436989868,0.0,525.4126461258301,0.0,0.0,0.0,685.0721892351193
2014-08-30,1.32626,424.89607228627744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,804.1895699986364,0.0,0.0,0.0,898.184042022675
2014-09-06,2.32198,326.07726368222643,0.0,0.0,0.0,0.0,0.0,466.7068196991491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,518.640441519462,0.0,0.0,0.0,703.6489994737962
2014-09-13,2.53502,0.0,467.2251938553266,0.0,0.0,0.0,0.0,418.27579096577057,0.0,0.0,0.0,0.0,0.0,0.0,500.4354165089367,0.0,1127.9682680960357,0.0,0.0,0.0,1482.6946240682444
2014-09-20,3.02419,0.0,0.0,450.02721021972144,0.0,0.0,0.0,636.2188467335011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,614.5916913225343,0.0,0.0,0.0,954.4202311564368
2014-09-27,1.9385,331.041560625775,511.2688916844106,0.0,0.0,0.0,0.0,571.0737170044953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,689.4691159573672,0.0,0.0,0.0,1198.4634418828082
2014-10-04,4.81841,0.0,0.0,0.0,0.0,0.0,0.0,469.9844348874596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,898.2874042446358,0.0,0.0,0.0,991.4896882153516
2014-10-11,4.95225,459.4284455085105,465.08338482725065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.9371471950892,0.0,834.3949450302778,0.0,0.0,0.0,1273.6804000164516
2014-10-18,4.42924,0.0,629.0260762133678,0.0,0.0,0.0,0.0,328.12127160192307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,414.3858238104113,972.074258096402,0.0,0.0,0.0,1097.074196998734
