date,Utah,cold,rsv,flu symptoms,the flu,pneumonia,a influenza,influenza a,how long flu,flu how long,symptoms of flu,bronchitis,the flu symptoms,contagious flu,flu cold,flu contagious,stomach flu,flu a,flu fever,fever flu,how long does flu last
2018-07-21,0.178874,8922.392641248418,0.0,0.0,364.9051119912168,360.55636681381225,0.0,0.0,0.0,0.0,0.0,332.95648725977685,0.0,0.0,0.0,0.0,0.0,329.96239401576446,0.0,0.0,0.0
2018-07-28,0.0637113,7973.361192686368,0.0,0.0,248.25926759268327,669.1024421736029,0.0,0.0,0.0,0.0,0.0,212.46863136764304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-04,0.177218,7855.215153870021,0.0,0.0,433.0475039078112,807.348585027404,0.0,0.0,0.0,300.1925830350824,0.0,363.5296871588072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-11,0.394566,8111.997831112047,0.0,230.5249327776923,0.0,645.8399760046984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.9496054755581,0.0,0.0,0.0,0.0
2018-08-18,0.379986,7964.360186972353,0.0,224.7879001870243,0.0,1055.1551524195058,0.0,0.0,0.0,0.0,0.0,339.7632505297911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-25,0.0,7802.548353825158,0.0,199.7715691848993,290.2054202489039,502.4855304664448,0.0,0.0,0.0,0.0,0.0,291.74228944682284,0.0,0.0,0.0,0.0,248.6851719378592,0.0,0.0,0.0,0.0
2018-09-01,0.379986,8241.019394051706,0.0,488.9938734799607,479.8142047052698,651.8405144791919,0.0,0.0,0.0,0.0,0.0,289.6601799106783,0.0,0.0,206.66316691253056,0.0,276.32767583342843,0.0,0.0,0.0,0.0
2018-09-08,0.617595,9666.860918592183,0.0,463.43425803313954,664.6473214402131,714.8748569210779,0.0,0.0,0.0,0.0,0.0,557.5422667863651,0.0,0.0,292.9994282419865,0.0,408.4272436511682,309.09240729425545,0.0,0.0,0.0
2018-09-15,0.461117,8500.171328200338,0.0,350.5606393620008,533.2800407286903,738.3770136407059,0.0,0.0,0.0,0.0,0.0,352.03996482070914,0.0,0.0,0.0,0.0,308.87772366158845,301.82447600004866,0.0,0.0,0.0
2018-09-22,1.43943,8417.973223464296,0.0,292.3088422162179,869.3476942502564,732.7152659514408,0.0,0.0,0.0,231.56822380920485,0.0,425.9080806515986,0.0,228.73905650452477,213.84056394826965,228.73905650452477,304.01435708700046,265.50317292355777,0.0,0.0,0.0
2018-09-29,1.08121,9158.247634105755,0.0,0.0,878.9235277278276,931.1823435762474,0.0,0.0,0.0,0.0,0.0,310.2881958392896,0.0,0.0,320.0009182567501,0.0,289.99339284481243,572.612893090145,0.0,0.0,0.0
2018-10-06,1.12891,8359.003606921384,0.0,0.0,749.5373143730629,944.6894089256996,0.0,0.0,257.09284243414135,374.5278855419208,0.0,501.6264924447662,0.0,243.06353152714465,0.0,243.06353152714465,308.89835414499504,559.0803441304071,0.0,0.0,0.0
2018-10-13,0.889977,11200.948536611564,0.0,470.5250766821413,932.1199549995722,973.6156268647744,0.0,0.0,263.8964304890565,244.78582145583545,0.0,420.8926191404857,0.0,0.0,235.86305488706168,0.0,623.3238023812039,737.5808169685276,0.0,0.0,0.0
2018-10-20,1.33969,10620.534759541148,270.36615494042263,821.4579193820747,1155.5073209972995,822.4111838211409,0.0,0.0,0.0,0.0,0.0,422.9747062975994,0.0,0.0,283.8292486382978,0.0,459.7448167539567,625.1164723992383,0.0,262.5455953122423,0.0
2018-10-27,1.69755,8868.044119967215,289.6061584907451,527.6027708105961,976.8506595229736,1175.661230628947,0.0,0.0,209.911751982887,289.36767662492133,0.0,561.7445493237491,0.0,237.19028387112468,0.0,237.19028387112476,0.0,577.4314182059762,0.0,0.0,0.0
2018-11-03,1.44402,9437.912709230595,0.0,661.6113205576991,825.649385076149,905.4257897982604,0.0,0.0,200.16371443909665,0.0,0.0,804.8362363330147,312.5084032223164,0.0,232.51301744667452,0.0,456.46171728712056,428.7106572333802,0.0,0.0,0.0
2018-11-10,2.05769,10651.484791667988,0.0,463.0561531031891,1172.673499454583,1073.0497297502031,0.0,0.0,342.2324465054237,0.0,0.0,643.0033635172925,0.0,0.0,208.6138004396955,0.0,374.64283366020527,392.76250248246726,0.0,0.0,0.0
2018-11-17,2.01558,11980.418227759754,0.0,366.2315586706416,697.6212725267737,1234.15321828775,0.0,0.0,0.0,0.0,0.0,315.07434470818384,0.0,0.0,232.5118909522776,0.0,379.76015047438426,426.8982730182801,0.0,0.0,0.0
2018-11-24,3.04355,13050.035485017486,432.0120920310666,296.29370407536464,1024.2867631770976,819.9843602814727,0.0,0.0,0.0,0.0,0.0,579.1013902220366,0.0,0.0,282.7723458695986,0.0,762.5499440389724,222.2419525911964,201.9472183259396,250.9352851224044,0.0
2018-12-01,2.34652,13409.173433719932,373.2062469619854,737.9371979571594,892.5872695005592,1339.50624658489,0.0,0.0,0.0,0.0,0.0,606.3932817803936,0.0,0.0,346.41792176285395,0.0,381.7408600345426,366.8427786120836,0.0,0.0,273.3598906966212
2018-12-08,2.45367,18249.490514179663,354.0890948221833,301.0151363153101,493.9994914176392,1254.6560418725803,0.0,0.0,0.0,204.96453441360967,0.0,676.9639930975765,0.0,0.0,206.32101295019103,0.0,592.8460109011116,401.3275871162915,0.0,0.0,304.6062842943562
2018-12-15,2.47489,19669.846915273592,313.46781287959203,700.1746443426034,988.3883389628757,1081.082386788554,0.0,0.0,215.90632601845076,296.803808526606,0.0,652.7721891706242,196.15717452620368,0.0,255.72077037128176,0.0,655.7657678769377,213.9816870625477,0.0,0.0,0.0
2018-12-22,3.35942,16453.040348054386,591.4311322970492,456.81761443509424,659.6550164960395,1008.5761175035708,0.0,0.0,204.0457560168552,230.9080537830092,0.0,633.6220242098682,0.0,0.0,271.128406774577,0.0,712.3451936781717,244.71201217636423,0.0,0.0,223.29756024005533
2018-12-29,5.01597,15197.700483657596,887.3082211631007,620.9165632094126,841.1943846901356,1427.5518703728692,424.65761607377846,424.6576160737785,0.0,317.0103018227469,0.0,1009.5108530174228,0.0,0.0,426.9247548834413,0.0,838.3403041864968,306.757990909909,227.79341901967527,0.0,0.0
2019-01-05,4.63265,17784.65117124637,732.5321817462393,747.0436266481182,1194.3985730122845,1567.7306415563585,216.0746971509882,216.07469715098816,456.2936030102784,413.3929901583049,0.0,949.6525681652896,0.0,0.0,533.8046571867122,0.0,808.1812976774227,443.2485965879879,292.6119150937868,0.0,0.0
2019-01-12,3.69727,14512.824043109946,789.9711407952462,823.6281336594473,1385.358711052855,1662.1515679931742,245.88409723400576,245.88409723400576,302.0723284106608,403.8765261723741,203.1234010418265,854.9186685281318,202.78698324480837,0.0,338.39331987238074,0.0,793.8548887372804,697.8703858185124,0.0,0.0,0.0
2019-01-19,3.25594,13316.377771052075,1365.9033642650918,749.8343430372432,1186.279553630461,1645.6824239895334,494.0950243507973,494.0950243507973,523.637909802477,413.2832669335343,0.0,857.7810588462091,0.0,0.0,247.7340484655485,0.0,419.5204596706327,637.9509004148612,0.0,228.4101512229966,292.54467634941784
2019-01-26,4.17613,15052.87691301648,1093.063269770781,897.1473313185646,1274.5004886767988,1508.9980521887278,640.281503720468,640.281503720468,357.4426269250238,330.89589921998174,0.0,755.7674966438193,0.0,0.0,369.2066833899381,0.0,472.3903945282975,596.3834775630285,0.0,0.0,0.0
2019-02-02,5.7164,16434.772494434223,1292.5888031073152,965.8732625339412,1501.5354438011277,1792.4795786360971,966.5876963033904,966.58769630339,475.1961793279616,288.3909338856289,0.0,719.290545706212,228.43872001252365,0.0,527.8814906575019,0.0,465.88018506696704,798.5010433126932,0.0,0.0,0.0
2019-02-09,6.3544,16156.122953749318,1257.9945825271427,1102.6827353385513,1583.9064793601883,1938.2510311727387,1080.7384668372654,1080.7384668372654,438.0811870600445,265.998529500057,330.05275867007526,902.219186894189,0.0,0.0,213.27236262032665,0.0,480.65647759923326,566.3921456808989,0.0,0.0,0.0
2019-02-16,6.44471,17499.420496758154,914.0352615346026,1063.5663645811255,1663.9131729037822,1743.9956133949368,1013.801738487982,1013.801738487982,444.7286603520999,368.5146090294967,282.88707271334766,817.0650653932329,224.78561472953817,0.0,396.2184694328273,0.0,592.4407506708252,722.3193935565753,189.9417992713048,255.28231687018732,193.72764980642663
2019-02-23,6.70821,17405.14148025085,1155.8449938036829,860.8625152411003,1857.4063249090943,1810.5015147068125,874.5566799036126,874.5566799036126,344.50325552275865,616.9750102892557,0.0,886.9783160399386,217.39558017042432,244.68451066118385,293.8389693266216,244.68451066118385,506.102470870731,539.6908695194372,0.0,234.1365509510809,0.0
2019-03-02,6.03751,14998.029632587972,932.1769021729116,761.947491116493,1756.1843032232985,1705.0805081305973,805.0586860128288,805.0586860128291,446.044746165484,457.8773551511806,324.63706808466776,1031.4696377172,314.8824286389402,343.7886414240073,325.8174532071181,343.78864142400727,496.667145653139,648.9373956925123,0.0,253.1698205092016,213.39352273696772
2019-03-09,5.35187,13289.639580169503,571.9383296901598,704.5314524499825,1472.6289134237932,1676.315658767808,1160.9057477292156,1160.9057477292156,405.5126321262223,352.2861516238727,243.1359195650149,816.5120756449563,212.78229570690047,211.8679032261952,244.9963255506649,211.8679032261952,301.0823541156831,226.9250099612668,224.04563008617657,228.99545395799936,0.0
2019-03-16,4.85543,12711.06231511119,336.52009669160697,499.9212537003554,1347.1202566072989,1181.7016627083135,503.5309775761708,503.5309775761708,351.83567391677093,276.6217454438256,0.0,776.0200658573259,0.0,248.7357239089753,240.21222792182328,248.7357239089753,0.0,538.9035685249991,0.0,236.8279984182734,0.0
