date,Wisconsin,influenza symptoms,the flu,flu symptoms,a influenza,how long flu,influenza a,cold,flu a,flu cold,symptoms of flu,stomach flu,bronchitis,pneumonia,flu how long,strep throat,sinus,rsv,influenza a symptoms,how long does flu last,the flu symptoms
2019-08-03,0.547726,0.0,122.10953464609578,191.18458699421208,0.0,0.0,0.0,7658.323080482498,0.0,0.0,0.0,223.80787687354172,255.2118344564124,865.7196460870958,0.0,699.1093239961151,1190.737712561236,0.0,0.0,0.0,0.0
2019-08-10,0.462676,0.0,281.03134337781705,162.92377264401938,0.0,0.0,0.0,7731.839327289189,0.0,0.0,0.0,162.41958488072677,359.36997034816915,571.4558393265991,0.0,728.6700874527976,1162.1384238744392,0.0,0.0,0.0,0.0
2019-08-17,0.522104,0.0,237.652086658733,0.0,0.0,114.7029961065208,0.0,7461.296893756275,134.38499868159732,0.0,0.0,178.3225935626768,333.3821593026877,763.8965434559833,0.0,595.1573283219324,1131.8836126730232,0.0,0.0,0.0,0.0
2019-08-24,0.446324,0.0,244.4474330190862,205.0308866977769,0.0,0.0,0.0,7109.500300251722,0.0,0.0,0.0,135.65767895784128,304.05247415293405,683.1929469891525,0.0,551.1044545561241,1168.4375137952106,0.0,0.0,0.0,0.0
2019-08-31,0.626316,0.0,158.0806934037082,150.74846280845537,0.0,0.0,0.0,7206.857023443157,0.0,0.0,157.93466749697197,168.00939662614303,397.7553501273792,1063.0676679903258,0.0,620.7918206830244,1271.6060993701055,135.1017320919092,0.0,0.0,0.0
2019-09-07,0.732137,0.0,316.7606332313762,139.52493786422716,0.0,0.0,0.0,7818.808954483471,109.54119764810342,148.8942055100257,0.0,116.77057657342446,328.1955702534656,787.8092731732567,0.0,587.6321502035621,1094.2321197382716,156.8068158646244,0.0,0.0,0.0
2019-09-14,1.088,0.0,286.97421202485225,0.0,0.0,116.7001120943487,0.0,8188.020692921653,127.19492832669232,178.81187765119077,0.0,163.75691477191774,522.2818440125022,980.387127185602,0.0,784.8862336308848,1318.2108539789533,211.13713066741607,0.0,0.0,0.0
2019-09-21,1.20487,0.0,523.8166910823975,247.9900673810004,0.0,0.0,0.0,8329.395535735108,333.08705809167657,181.88728821610425,0.0,185.00137774720903,749.9819565827971,1055.6161029067164,119.30412706633204,958.422369901002,1491.014112978406,115.07210076477386,0.0,0.0,0.0
2019-09-28,1.46275,0.0,644.1180270914743,278.9571784823237,0.0,0.0,0.0,8347.98916846484,471.7243409567379,289.657356196753,0.0,167.8182714013707,626.3860700168008,1685.1867730523331,163.41272204789573,739.6281202843555,1851.2738585189427,204.3989121472107,147.32254746057504,97.77411891949926,0.0
2019-10-05,0.898354,0.0,746.2899801299617,186.0595522384501,0.0,139.90207405436087,0.0,9333.629151368765,732.6945055020071,316.3512126747152,0.0,223.94909074398552,675.0420888468345,1341.266158519216,131.14111333918063,696.0365917056033,1573.7324890632233,186.6258543856381,0.0,0.0,0.0
2019-10-12,1.40262,0.0,1139.9266632149506,403.3928790854515,0.0,0.0,0.0,10578.284753761383,728.1366144935818,338.2216985055294,0.0,119.61025493976494,656.2189627528496,1578.0059453276228,140.21979997632698,903.1440348914394,1286.5707565881532,208.2621514802059,0.0,0.0,0.0
2019-10-19,1.48287,0.0,1093.4257755254616,489.1420241783376,105.03607775811848,152.78383339739008,0.0,10597.955932640543,730.3002216949611,245.1224982148814,0.0,158.98393422068142,861.0883841525413,1712.431871377897,318.2528977076141,724.4232639137441,1644.8023250489657,241.9635792054348,0.0,0.0,0.0
2019-10-26,1.16637,0.0,951.8486221043756,483.3630130580919,0.0,221.63836175354209,0.0,9599.979417553412,861.3391936315784,317.3317679692142,220.31286991507164,225.56188757670745,711.8472659758412,1520.1567413372334,224.87937973466623,727.6017693849134,1538.951040754553,225.16760026615148,0.0,0.0,0.0
2019-11-02,1.49762,102.15264088671825,907.1134769225666,470.3150030751452,0.0,0.0,118.0264129425157,11600.7631017458,643.3866163495633,276.19273192566635,0.0,258.1019092516383,600.4763568695645,1572.6416049704328,117.70575034496323,959.7060822150704,1587.9252416166592,284.6613976373786,0.0,0.0,0.0
2019-11-09,1.70525,0.0,845.3055819634625,502.9844192212182,0.0,141.1017878175923,0.0,13046.615208501698,574.6456932169554,216.95059139681004,152.39594612262655,366.7593222790084,937.4141339528258,1839.315405284156,154.84906070422815,1033.593875688503,1587.158087806728,207.2411804637568,0.0,0.0,0.0
2019-11-16,1.40298,0.0,769.3013052368028,382.1439033857603,0.0,226.97272636319693,98.7108436968963,14402.71051063532,531.5440456514792,359.8762672147737,0.0,318.3692791441385,806.3961954841213,1895.1965498051104,151.33635551621285,937.6242339162628,1580.4337406839293,319.41454656095044,0.0,0.0,0.0
2019-11-23,1.57279,0.0,764.7413373943534,481.4736211240557,129.45824823383353,164.86606971077086,130.27251689435997,10149.127423129792,489.080040701524,290.1427791655936,146.1388873165068,472.7839080197687,821.267074577578,1990.516130428601,188.1648492898779,1042.2493320840194,1544.1243556903553,407.5997864368045,0.0,0.0,0.0
2019-11-30,1.75611,0.0,669.9002763477267,466.3337002128279,0.0,289.45187369424264,117.26753506242817,10292.428730063277,389.3641946521773,305.5649369905975,142.1614776596104,493.28368835579874,833.3097413678386,1489.4607147308866,265.2287598772523,910.2870077061024,1795.5233276968745,451.3150677479183,0.0,0.0,0.0
2019-12-07,2.05403,109.68325372060409,788.1404297453983,653.0546204017829,0.0,222.41224241549887,0.0,10528.876640393488,444.3280906351752,350.31914577722864,126.72842246794391,592.5140054130055,857.4283569533828,1732.9528063905498,166.63582633819533,1018.439409378331,1688.056882317048,584.3157916288787,0.0,0.0,0.0
2019-12-14,2.19359,167.35107607456618,1074.9484332541024,609.7505473910568,102.32339248990404,188.26290047512103,159.86357267282378,12940.159151093996,582.732286943514,380.2110396692245,114.8740303576438,557.9531754022091,918.7055523623272,1738.0988494218095,249.34719838680547,857.7459372589285,1789.899181469952,557.5662766908769,0.0,112.84194334495416,118.8576929712479
2019-12-21,3.23524,183.8207386562726,1113.9711631297698,934.925331074528,184.0184509158536,318.56957441011497,122.6499590102171,12787.979083095592,502.5994822736437,344.2900679930421,195.37140744622255,749.039618638495,826.7676493064823,1847.9883596486848,343.7628138171304,1151.119889404859,2033.772659457081,944.4763091710248,0.0,166.83563172450025,161.6141187583035
2019-12-28,3.93613,199.67764163221625,1653.0734140883776,998.967282911908,261.2732875019893,483.6319019118508,0.0,11795.705666420108,605.7485543044473,592.1947294853962,256.3763591430382,1095.8568381378316,1098.5268299835332,3147.720143505296,587.593431341569,990.3867886592716,2317.4414975130985,1285.9954712425222,0.0,118.945102365613,134.99354725692058
2020-01-04,3.5942,242.9977803335464,1997.258265081716,1269.2282006812843,457.53428362612937,534.7237863697811,300.50474534079655,12557.754799135277,770.4641679572019,596.4537714051961,269.97993013828085,920.7037195672372,1379.6232674081648,2359.623807296214,445.38228498619975,1129.2996337705902,2497.4879336765757,1580.9820743262576,0.0,0.0,142.1415360048729
2020-01-11,3.25547,323.8381052760813,1967.1896941783252,1160.5893916214195,414.2839546832252,477.1876719264984,456.4281472834067,10907.053467464531,663.3970868047174,534.7363735345573,251.83162216103435,796.3203417178028,998.6640743623728,2122.530893161236,360.0584224110826,1083.786041648795,2364.099653454457,1536.6750272650677,0.0,162.3604559179339,210.3630075790469
2020-01-18,3.40635,379.4753680362268,2056.144736451405,1077.4035872370791,549.7946197435813,462.2331624519749,534.2785947050681,11594.311549046744,732.5731332505629,474.5565650931417,241.23352232678556,876.9395980638776,973.8775192130564,2137.6449575199485,451.4356421239288,1107.3755343281352,1704.9753644295777,1795.2051927137304,114.61927113379534,131.52034431093497,186.75550316070783
2020-01-25,3.83857,482.9500481048266,2259.820337235998,1059.8415005729826,845.7653216964424,525.178341888961,868.0324630218339,12096.611154407516,897.9520427103375,334.207831065788,293.3981310168855,616.0897438590073,954.180197887362,2328.2117440325,546.5317226158063,1105.873531197348,2122.741483491222,1588.775609140724,136.4318789441033,155.41182556226497,247.6036352066428
2020-02-01,4.80205,514.356404807063,3045.8024685595906,1342.8849080511343,776.7137579836811,661.6144792227407,864.1972204552378,9791.462231056756,1053.372481142835,387.0568736545113,343.6541467290688,487.2469471248241,800.6410813159362,2138.6593645089456,596.9783844322285,1340.2649095417692,2027.778112175915,1327.4894471739487,106.11987548350646,163.0270860629314,259.30756652432467
2020-02-08,5.12257,748.4397614631386,3105.8074726240475,1588.6152151191332,1245.252347863475,680.7444892598281,1266.6023093935432,9923.671509607217,1180.4275574734277,409.7951355595435,425.9891847313179,583.1249425415316,970.3707221680664,2177.5785693194966,732.1653805457025,1135.7862557094754,1954.662814442824,836.5532567287876,215.61793363559573,248.336846524087,300.1508127165765
2020-02-15,5.17155,894.587754264975,3044.367376882925,1406.4044755363489,1796.25199728901,701.6888717680017,1798.4342923774152,13396.517928582416,961.4285471552372,616.5729645877311,396.6129608177055,629.8022216840748,1083.497877025326,2179.907819542836,718.6724590714836,1184.2909112201687,2158.627982177164,827.4844099231417,234.19332493363447,238.3016153444912,269.4683163990971
2020-02-22,5.25981,875.755905965621,2837.4101282791908,1299.077013917134,1857.3169834881037,684.7552918144825,1850.0098770231991,11888.7541126384,1047.6186588347457,443.397419716942,346.5108152506907,773.162783064558,1059.170973103984,2116.430457230717,707.6742111517392,1145.3389606957214,2433.017150315109,812.8845199558375,295.57081515238684,243.3804806900289,385.5213195155325
2020-02-29,4.72807,741.3865419817774,4446.324672062201,1695.4013738000676,2069.4295502111668,792.5980442798398,2134.744501295942,11045.393038730756,1196.892354923968,438.630589531965,468.1477010676356,610.8413176813294,1141.3627452315854,2096.8022531464503,785.587109803615,970.0173898400736,2075.2360685744093,670.4192788385815,328.9786762580094,186.5003919666996,359.89361882795504
2020-03-07,4.61223,717.3554851242956,5004.280417978654,1669.264180725059,1921.5979170385565,792.7027620179808,1927.1832301891409,10486.411738395733,1424.7763650439945,572.7421873011592,486.896186253968,882.2664177701255,938.0509698526444,1989.7690188803504,826.3599966946794,1075.4654261190108,1909.3153905648944,506.92727782855,241.40564156388075,216.673731877454,444.1052362395394
2020-03-14,5.75515,872.4709006873699,10425.57847166358,3073.709969411293,2076.716494311354,1105.4033683068485,2124.5994458384816,11485.60350495151,2708.7032536023708,754.2609136139608,961.8844670740476,671.7445614872055,979.4008613800876,3167.182808612596,1128.7448552670407,1102.1129025302089,2087.1203593545997,642.0599627743441,390.8408486240813,204.37415976656973,760.1487948435819
2020-03-21,6.3458,547.9690178941596,7445.35216141588,2329.876111549877,1207.0506292934472,936.1115023204846,1270.5329970278462,10655.995150436844,1953.1814083457589,786.3284408589103,529.954315081004,379.5610354580849,1377.8772559668378,3216.947700797653,930.353892849246,1012.302535945209,2141.9622296290545,650.6409182684031,225.02349110418604,239.7933398655707,266.0388089669632
2020-03-28,4.45482,365.5843577926461,5103.830956575609,946.060773794358,529.4432334550127,583.9726377568264,514.1857972272385,9069.103920731117,1116.263756507482,462.2709573875592,257.4464329922841,177.28084591109442,925.6977001414318,2536.1499306678047,573.278119847942,775.5276152799238,2036.5864012883649,462.9288768042298,97.53348675143202,0.0,234.47541176996927
2020-04-04,3.47254,115.36704079167352,4555.954577010722,479.8736962689259,269.08859572257256,462.1673432504875,158.5910980129695,8476.089003574645,912.0305694334296,142.8519058496843,161.72765905452954,205.28859153862973,580.842867505079,2081.0811905293517,388.5877204527665,543.5935274490917,1502.3411184161032,235.9203475062305,0.0,0.0,83.80508737371152
2020-04-11,3.23841,0.0,3330.7905268752347,533.303495909433,221.51923803859577,202.2879198941421,176.99978586919624,8571.85590520913,585.9628336091719,171.5689918848034,213.6901754890013,140.2502716311882,511.7171769694915,1780.0813858974818,289.3559182952367,437.7098458490202,1259.6200889442805,0.0,0.0,88.21592003914574,106.4519483895734
2020-04-18,3.11916,0.0,3232.803337309187,278.9299530524407,254.37052575860008,209.801336979844,232.55102533339223,8211.431103944431,553.7020824047855,0.0,200.05640557841065,125.55464811432824,339.0569595279006,1174.9454990905554,224.12191229413853,501.0819898996997,1288.4607531653248,94.73115286720429,0.0,0.0,0.0
2020-04-25,3.1348,118.71320189886022,2485.0062827933466,301.72017773171456,220.60133354880435,215.31290445069797,166.12887152398537,8235.549898276247,505.943594478922,143.06578631596489,0.0,143.79514413415038,333.8299099272791,1025.6246760666068,216.88398777655544,331.02990110125364,1026.298021646239,188.64917685734915,0.0,0.0,0.0
2020-05-02,3.05548,0.0,2285.111602817456,151.17512783059874,228.5277416719288,111.70486816245514,200.83514268210973,7896.062725868745,425.57865814845786,0.0,0.0,105.16161304315104,160.0737032098185,967.472288428538,138.2018064356993,253.99822557790745,990.2701776310524,81.47366575876718,0.0,85.65392963401241,0.0
2020-05-09,3.34975,0.0,1986.810271678447,178.60465348867072,0.0,173.96092229422624,89.4084802112684,9762.52052848833,463.1817904339804,0.0,0.0,223.2756457447373,152.68319574005784,966.0923184274152,134.5055755986159,339.5752475052521,820.755031442232,0.0,0.0,0.0,0.0
2020-05-16,3.65242,0.0,2072.2159095331167,167.08388156251416,145.53554471162946,125.9072611547366,135.52662278082695,8638.958605039606,440.0259104370333,0.0,0.0,101.37380861287517,156.83365205670006,776.2427710286811,176.04746746929845,234.23504519802037,1061.0692441346043,0.0,0.0,0.0,0.0
2020-05-23,4.00478,0.0,1508.6825018757086,244.90978899471077,104.0222122630218,180.7440444590488,114.90424329888732,7466.140561099528,363.54132113301233,123.55990631596296,0.0,106.06685359010076,218.1978116976612,681.3340576188378,149.62820081175386,369.3641739727101,957.7836014548808,0.0,0.0,0.0,0.0
2020-05-30,0.870672,0.0,1725.9182688197222,0.0,0.0,128.92712697572406,0.0,7922.348322067352,302.5956683322226,0.0,138.20615949497125,0.0,113.97813089487246,582.2003629821112,186.0801628066504,347.4262205054087,731.0595739566243,116.88579981124852,0.0,0.0,0.0
2020-06-06,0.564045,0.0,473.18949592535,119.5929063475632,0.0,0.0,0.0,7863.877229293151,270.076803908013,0.0,0.0,0.0,147.18572386720084,467.41140256526313,0.0,230.10508724408228,611.1936419627076,0.0,0.0,0.0,0.0
2020-06-13,0.570074,0.0,806.8254743510156,269.0185091006797,0.0,0.0,0.0,7850.836904099363,152.6358416419816,0.0,0.0,0.0,159.64701116859405,742.2999085780285,138.53064470790463,337.2682394870399,853.2789574489768,138.80838760366004,0.0,0.0,0.0
2020-06-20,0.680066,0.0,607.173660790531,133.40212808910945,0.0,96.03122491562848,0.0,7576.389914254473,126.04802511660114,0.0,0.0,0.0,125.50608985404992,515.6238994605636,162.51223378016635,371.9550444309732,1070.919361260842,0.0,0.0,0.0,0.0
2020-06-27,0.846938,0.0,936.2912416413494,141.08813953611852,0.0,0.0,105.57346379956594,7491.837650005403,185.900955559216,0.0,0.0,0.0,125.7054611715616,599.3490301130443,0.0,287.4266324771253,954.8081873343536,0.0,0.0,0.0,0.0
