date,Texas,contagious flu,flu contagious,how long flu,flu how long,is flu contagious,flu type,flu cold,flu incubation,flu type a,how long contagious,how long does the flu last,the flu,bronchitis,b flu,flu symptoms,flu incubation period,how long is flu contagious,fever flu,how long does flu last,the flu symptoms
2016-07-02,1.84575,0.0,0.0,26.274650593650872,41.65471363063953,0.0,0.0,68.06445922007462,0.0,0.0,82.66905741233855,0.0,113.74301111510492,343.8277525105397,0.0,145.9862406051926,0.0,0.0,26.85558178980293,0.0,0.0
2016-07-09,1.66667,0.0,0.0,0.0,24.85992149009781,0.0,0.0,60.54016604625324,0.0,0.0,77.49718314990182,0.0,87.86726614391787,337.50076422997523,0.0,98.34285779674391,0.0,0.0,26.294754285457834,0.0,0.0
2016-07-16,1.55492,0.0,0.0,42.316283757503896,0.0,0.0,0.0,41.6917655117117,0.0,0.0,68.88190561913535,0.0,128.87928645354046,314.181483694658,0.0,84.52841495901517,0.0,0.0,0.0,0.0,0.0
2016-07-23,1.42177,0.0,0.0,0.0,25.27920276694686,0.0,0.0,48.33262151413204,0.0,0.0,68.55532399502103,0.0,98.0885518028742,261.49881380351326,0.0,96.58792089482584,0.0,0.0,0.0,0.0,0.0
2016-07-30,1.57115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.91232890771181,0.0,91.5759804070284,293.69483388310493,0.0,58.911111446487865,0.0,35.53814847333694,0.0,0.0,0.0
2016-08-06,1.27404,0.0,0.0,24.206716668905614,0.0,0.0,0.0,47.384934489772505,0.0,0.0,74.06611611477334,0.0,112.47382503471512,305.033647657042,0.0,118.71693215139152,0.0,0.0,0.0,0.0,0.0
2016-08-13,1.30064,0.0,0.0,0.0,40.39908443407106,0.0,0.0,35.13151052427805,0.0,0.0,38.32928744551036,0.0,110.17021452257724,219.53106206433037,0.0,88.84481342859667,0.0,0.0,0.0,0.0,0.0
2016-08-20,1.31155,0.0,0.0,0.0,0.0,0.0,0.0,52.52971041466972,0.0,0.0,93.6384770102657,0.0,92.85475920908644,211.7472041515221,0.0,85.31881144553459,0.0,24.858620550823765,28.67059666074437,0.0,0.0
2016-08-27,1.76582,0.0,0.0,0.0,30.846593295108782,0.0,0.0,54.2023622066575,0.0,0.0,47.02043201360033,0.0,178.98284181115525,283.34908390028767,0.0,114.93362306547768,0.0,0.0,0.0,0.0,43.62395428629409
2016-09-03,2.89706,0.0,0.0,68.17416212169913,50.281722757133785,38.02381319971448,0.0,93.74358760933444,0.0,0.0,53.54860381023675,0.0,226.46495553897475,313.96434342808806,0.0,205.1684344160327,0.0,0.0,40.457895223211615,22.54583492569516,0.0
2016-09-10,3.0076,0.0,0.0,65.07951719329925,47.391616472425255,0.0,0.0,102.95103385811171,0.0,0.0,66.76544785711738,0.0,346.21044410274783,409.7212277267423,0.0,232.81648687977636,0.0,0.0,23.969437901957274,0.0,35.67802274520424
2016-09-17,2.60465,0.0,0.0,47.09080985596753,42.46233154622258,0.0,24.868487208969043,149.62701615739908,0.0,0.0,82.48521928748838,0.0,322.4381501519686,481.2893791676505,0.0,222.38200725534992,0.0,0.0,38.57193515000326,0.0,32.52841356163044
2016-09-24,2.57309,39.19311073132815,39.19311073132815,81.26495753529852,74.57228907648465,0.0,0.0,152.06304623286124,0.0,0.0,103.66495182075371,0.0,337.01764654708603,461.6519006366167,25.669943910313044,278.2210288301914,0.0,0.0,36.288266469371614,0.0,37.243909251524336
2016-10-01,2.75084,22.113802942109547,22.113802942109544,68.21009862043293,62.44151140691961,22.802814253886822,0.0,126.6715254526186,0.0,0.0,43.44489693477435,0.0,448.950311803956,427.71721568709296,0.0,239.46840288189105,0.0,0.0,45.67142451899266,0.0,49.26152176965768
2016-10-08,2.08692,0.0,0.0,83.42743363446397,74.97996050357045,0.0,0.0,109.02784302705896,0.0,0.0,76.02194724841937,0.0,479.5750118679625,453.8606025407535,30.19080292326878,339.7264358767278,0.0,0.0,98.34490044212272,31.469352985834725,59.37511573417812
2016-10-15,1.95234,24.80789191572857,24.80789191572857,71.04911449903967,79.18586638938403,22.49960439472012,0.0,134.1168675657655,0.0,0.0,68.55978426649705,28.5706217487984,517.6531344248359,551.9302772021387,0.0,377.1477791557156,0.0,0.0,48.8917756547901,0.0,70.14706381270418
2016-10-22,1.84806,36.53109414585506,36.53109414585505,90.33498307276646,97.11788786797057,0.0,0.0,167.2492019546806,0.0,0.0,75.36033225362414,0.0,477.7531847768491,506.94608256537,0.0,330.4173182956395,0.0,0.0,57.38877893084664,24.17648145230556,35.64405091297269
2016-10-29,2.06247,48.37628489580125,48.376284895801255,79.98908358401843,75.36409587935863,27.76649491299208,0.0,135.4322614013931,0.0,0.0,91.27579439811358,0.0,410.8574914327871,493.1353207831989,28.38949738963865,324.2882930382048,0.0,0.0,73.95102509305033,28.973854325129004,40.38457726900143
2016-11-05,2.01191,22.115261381598653,22.115261381598653,71.18999987726288,82.96638976163003,26.95591061977721,0.0,138.54632516165125,0.0,0.0,112.79049400313914,0.0,421.5966347540997,459.76154653120216,0.0,319.4682203671321,0.0,0.0,52.11466948523625,36.00144782230787,69.07949653231861
2016-11-12,2.08512,24.867934381626068,24.867934381626068,57.25787428640079,55.84425072358733,0.0,0.0,98.84883521527348,0.0,0.0,64.00411348283518,22.452487344173747,348.8448793538446,457.0834986010189,0.0,268.48752019290515,0.0,0.0,36.32274587456942,25.54764271373651,44.59573720986194
2016-11-19,2.24903,0.0,0.0,87.86284616171153,79.74054273724848,0.0,23.654738818214483,152.04243896789944,0.0,0.0,97.07526031387754,0.0,431.65621002264646,536.5852219198595,29.500380401749243,345.35050490517955,0.0,0.0,68.7876929063403,25.505862548426823,35.57173055592566
2016-11-26,2.59299,38.002837481881954,38.002837481881954,91.82831078337988,86.77218273003838,25.2257391205244,0.0,127.68111489884042,0.0,0.0,131.4591666515121,0.0,343.3212513873183,563.2427931840379,0.0,323.2221065655036,0.0,24.631717335090777,54.589026456572256,27.200193876813927,65.14333592751548
