date,Oregon,flu symptoms,the flu,sinus,pneumonia,rsv,how long flu,flu how long,flu cold,bronchitis,flu a,contagious flu,influenza a,a influenza,symptoms of flu,flu fever,the flu symptoms,flu contagious,stomach flu,fever flu,how long does flu last
2019-03-30,2.86383,439.92735458651,1094.4015599413242,1548.2527774939167,1427.5334003066143,516.4506408167064,361.56850500712267,361.5685050071226,244.96174156774296,850.6741240872825,755.3053648297035,391.86521220710085,394.09944837734713,394.09944837734713,0.0,439.5956832921996,0.0,221.4387365470464,374.519171730294,304.45097854065006,151.13536231699604
2019-04-06,2.02488,630.4562608420116,783.0109383630096,1639.9162170959733,1433.3550912382589,275.4447807046904,206.3648970737896,206.3648970737896,225.80330330470636,641.0656993007923,369.6473072404278,146.9368619101457,294.426882017971,294.426882017971,0.0,0.0,0.0,0.0,315.50290963199154,163.29763281737937,0.0
2019-04-13,1.36199,531.6829058585545,368.6989871312142,1057.0863783210696,1137.060460953484,182.6209646831476,220.0963550746537,220.0963550746537,0.0,675.6758679621585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.4566558931771,0.0,0.0
2019-04-20,1.30762,424.10562724780016,416.425715475998,1438.3334240987128,1097.708131476281,173.0642034843381,0.0,0.0,0.0,421.86524569017536,163.25731765400576,0.0,0.0,0.0,172.32403866693397,0.0,0.0,0.0,268.2200345336444,163.1544297860586,0.0
2019-04-27,1.28452,0.0,408.82038350726526,1120.667696300403,1107.2583798904766,0.0,0.0,0.0,201.49386642821383,536.3885604922239,148.84632990352347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.89036771496347,0.0,0.0
2019-05-04,1.05901,246.3931694574019,678.2994013479225,1573.7564338156058,992.8110668587814,210.62524563565464,0.0,0.0,0.0,640.6988894020478,214.6965149927883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.54801269201664,0.0,0.0
2019-05-11,0.987481,215.58039299809124,347.68876940951947,1658.015260346794,1233.8494224857654,0.0,0.0,0.0,183.9991651887336,621.2668789798049,337.9965782083807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0937934169437,0.0,0.0
2019-05-18,0.920709,320.19953441727307,286.5952318555649,1274.882365769877,1179.9436090204345,0.0,0.0,0.0,0.0,683.7882107115267,223.00195694345035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.1453546162002,0.0,0.0
2019-05-25,0.894641,206.9175317174688,300.0519353054649,1114.4267220700854,1029.8325539421949,253.6559069141485,0.0,0.0,207.09623655587785,586.3060759808566,0.0,0.0,0.0,0.0,0.0,0.0,163.20056941038666,0.0,189.97834454847865,0.0,0.0
2019-06-01,0.933567,181.52330676812295,371.40026055892565,1348.446431119897,1060.827392924259,156.4779322160686,0.0,0.0,166.0222245320129,574.2274037553867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.37938658884298,0.0,0.0
2019-06-08,0.736127,0.0,312.8892905481152,1322.154962152136,1006.2460280955072,0.0,0.0,0.0,173.47838123348234,436.0222370647143,196.24826328908043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.29582396704964,0.0,0.0
2019-06-15,0.684507,186.83772077079243,416.29411987808953,1493.459540538498,1126.2395422731115,0.0,0.0,0.0,191.93809337424656,490.2351454473096,0.0,0.0,0.0,0.0,0.0,0.0,152.43715795299153,175.14562294635274,257.466411640953,0.0,0.0
2019-06-22,0.702583,239.9807631528372,426.1888842444975,1198.5080230969224,1021.3282538767984,0.0,0.0,0.0,0.0,405.9739412759394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.95709568384075,172.73434544597265,176.74368191298677,0.0
2019-06-29,0.576515,212.47257214803795,0.0,957.7832435845294,748.5686248136037,0.0,0.0,0.0,0.0,415.5043471455776,144.31883492070142,0.0,0.0,0.0,0.0,0.0,169.1432085413358,0.0,151.5622849784722,0.0,0.0
2019-07-06,0.560123,270.00795480519173,317.0491579698434,960.4653035401444,650.0035990195906,0.0,0.0,0.0,0.0,471.223401202443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.68384442250655,0.0,0.0
2019-07-13,0.472636,263.3673899516404,0.0,1004.8697886340694,691.5284955257457,0.0,0.0,0.0,0.0,433.2910582742949,207.5414819340567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.87186233232617,0.0,0.0
2019-07-20,0.369568,164.80890823957915,0.0,890.7198295308004,939.9740461190488,0.0,178.90108104640208,178.90108104640214,0.0,296.6810314986453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.39455786328307,0.0,0.0
2019-07-27,0.362663,158.92611540647945,0.0,882.1789851089791,790.2480146393586,0.0,0.0,0.0,0.0,266.37341217970265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.61951019214467,0.0,0.0
